Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (g86),Error (curve),Error (g59),Error (g237),Reduced Error
1997.3,0.095997,49.504,5.5126,0.063738,0.11235,0.052726,1.348,0.075899,0.084855,1.7375311745932038
1997.6,0.094162,50.06,5.5077,0.06372,0.11247,0.052696,1.35,0.075865,0.084888,1.7396457587925651
1992.5,0.093242,50.853,5.4936,0.063654,0.11263,0.052649,1.3506,0.075795,0.084969,1.7402656474600822
1997.6,0.092579,50.235,5.4667,0.063583,0.11261,0.052667,1.3515,0.075869,0.085043,1.741224494403528
1991.9,0.09306,49.48,5.4361,0.063544,0.11253,0.052701,1.3544,0.075971,0.085071,1.7442511986055056
1997.3,0.092917,50.772,5.5372,0.063813,0.11253,0.052674,1.3548,0.075807,0.084806,1.7444040313636229
1997.8,0.09466,46.744,5.2901,0.063088,0.11241,0.052771,1.3576,0.076277,0.085495,1.7476760966032008
1996.1,0.097674,49.478,5.4209,0.063323,0.11257,0.052662,1.3585,0.075841,0.085275,1.7482130396869822
1997.3,0.092283,52.282,5.6231,0.064033,0.1126,0.052636,1.3592,0.075634,0.084595,1.7486708080648163
1999.1,0.092936,49.356,5.4571,0.0636,0.11248,0.052713,1.3592,0.075973,0.085016,1.7490019324633577
