Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
4.6538,745.84,1.4461,662.66,667.9,831.7,17.784,6.4803,0.11784,0.37938,0.044451,0.14937,0.22303,0.10164,0.10554,0.063453,0.054442,1.2391480320227226
350.63,784.32,1.9943,806.72,680.66,831.45,14.072,12.628,0.11404,0.45157,0.049327,0.14511,0.22082,0.10952,0.10855,0.06654,0.056829,1.3223060939008977
10.11,761.62,0.6722,633.49,678.18,807.26,33.244,2.5959,0.1324,0.43562,0.05299,0.17662,0.22488,0.11639,0.096874,0.042643,0.045572,1.3239993112452695
341.01,784.42,7.3473,639.19,681.01,829.11,11.658,16.243,0.10984,0.50388,0.050925,0.14329,0.22261,0.099322,0.11188,0.065157,0.056313,1.3632178298832442
9.9883,771.64,0.67228,626.59,681.14,824.14,34.926,2.5715,0.13242,0.39621,0.053084,0.1763,0.22493,0.20168,0.096907,0.042331,0.045493,1.3693539460727644
9.889,770.7,1.2602,640.41,680.82,826.26,27.176,5.5216,0.12161,0.55984,0.046789,0.15245,0.22202,0.10208,0.10281,0.05812,0.050399,1.4161141951623757
320.8,773.69,4.0861,877.05,681.17,832.05,16.894,9.8797,0.11415,0.57068,0.049014,0.1432,0.22013,0.10179,0.10988,0.064651,0.056035,1.4295275037801745
8.4782,751.26,0.56607,628.99,682.4,828.21,18.617,6.106,0.12064,0.57188,0.045648,0.1535,0.22293,0.10076,0.10223,0.061282,0.051961,1.4308295028229996
10.011,775.18,0.6188,643.37,678.12,824.32,36.318,2.4706,0.133,0.42975,0.053351,0.17747,0.22493,0.22922,0.096657,0.041821,0.045477,1.4316810469917265
3.3661,790.9,3.0386,822.35,682.21,807.04,15.009,9.2645,0.1124,0.56373,0.039612,0.14096,0.22114,0.099624,0.11399,0.075404,0.067262,1.4341180441033372
