Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g238),Error (g39),Error (g138),Error (g243),Error (g164),Error (g50),Error (curve),Error (g185),Error (g223),Reduced Error
790.29,0.48702,137.88,8.2433,0.15858,0.12079,0.12689,0.057723,0.13793,0.11277,0.27358,0.07004,0.44149,1.4998043764052529
789.17,0.49287,137.15,8.1749,0.15852,0.12094,0.12705,0.057805,0.13773,0.11215,0.26986,0.070031,0.44613,1.5001982641624085
808.14,0.48656,136.07,8.1352,0.15842,0.12109,0.1272,0.057872,0.13761,0.11138,0.31653,0.070015,0.40031,1.5004233620673448
775.22,0.49163,138.35,8.0959,0.15876,0.12077,0.12723,0.05791,0.1375,0.11322,0.24239,0.069895,0.47358,1.501243199013369
775.3,0.49186,138.34,8.096,0.15875,0.12077,0.12723,0.05791,0.13749,0.1132,0.24236,0.069897,0.47406,1.501672808350624
784.82,0.49328,137.38,8.2068,0.15855,0.12088,0.12697,0.057763,0.13782,0.11242,0.26168,0.070047,0.4559,1.5020306038324573
788.45,0.48922,139.06,8.2087,0.15862,0.12076,0.12697,0.057756,0.13779,0.11298,0.28189,0.069965,0.44204,1.5087753740710228
789.94,0.48744,139.26,8.2136,0.15864,0.12074,0.12697,0.057752,0.1378,0.11309,0.28508,0.069955,0.43913,1.5091495288920835
774.96,0.4932,139.01,8.1714,0.15872,0.12072,0.12704,0.057802,0.1377,0.11334,0.25408,0.069941,0.47424,1.5135728477995656
780.39,0.47242,138.91,7.9936,0.15902,0.12054,0.12756,0.058092,0.13721,0.11445,0.31419,0.069684,0.41861,1.5193437423914236
