Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g63),Error (g59),Error (g86),Reduced Error
1539.0,0.0057909,85.737,19.761,0.097733,0.062773,0.3723,0.12424,0.062185,0.058176,0.7773982012930843
1541.8,0.005825,85.74,19.772,0.097699,0.062784,0.37624,0.12427,0.06215,0.058187,0.7813332791229788
1582.8,0.0056182,84.838,19.997,0.09775,0.062897,0.37576,0.1257,0.061601,0.058526,0.7822323803609263
1623.6,0.0055927,85.545,19.769,0.097853,0.062866,0.39655,0.12599,0.061341,0.058632,0.8032285605504635
1543.7,0.0060289,85.74,19.24,0.097471,0.062779,0.39961,0.12376,0.062237,0.058035,0.8038832116319391
1626.0,0.0052625,91.044,19.702,0.099118,0.062364,0.40241,0.12396,0.062009,0.058356,0.8082190670206592
1552.2,0.005571,84.37,19.842,0.097738,0.062872,0.43689,0.1252,0.061904,0.058359,0.8429616220060753
1627.2,0.0048581,94.162,19.852,0.1001,0.062118,0.45939,0.12323,0.062404,0.058306,0.8655558057616564
1625.6,0.0049513,94.858,19.664,0.10009,0.062071,0.47177,0.12275,0.062536,0.058206,0.8774263034381736
1442.0,0.0058328,86.992,19.861,0.098039,0.062537,0.47377,0.12211,0.063424,0.057685,0.877567710895711
