Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
861.5,0.49571,162.27,2.8452,0.15439,0.33799,0.24812,0.093725,0.17994,0.17843,0.072191,0.15791,0.10281,1.5255063550925032
861.81,0.49666,163.85,2.8077,0.15488,0.33691,0.24793,0.093707,0.1803,0.17825,0.072484,0.15845,0.10305,1.525945866962978
861.53,0.49685,161.59,2.8454,0.15439,0.33963,0.24811,0.093732,0.17992,0.17843,0.072187,0.15791,0.1028,1.5271099351539092
860.17,0.4881,165.21,2.8462,0.15434,0.34018,0.24825,0.093696,0.18003,0.17846,0.072184,0.15785,0.1028,1.527799168214413
854.66,0.49412,164.88,2.8394,0.15444,0.34122,0.2482,0.093719,0.18009,0.17842,0.072241,0.15797,0.10285,1.529138902231233
839.49,0.50615,163.27,2.8402,0.15444,0.34326,0.24821,0.093786,0.1801,0.1784,0.072236,0.15796,0.10285,1.5312471890850992
861.31,0.50013,161.14,2.8364,0.15452,0.34366,0.24802,0.09374,0.17998,0.17837,0.072259,0.15806,0.10286,1.5314764634415585
860.85,0.49748,160.76,2.8708,0.15408,0.3473,0.24824,0.093748,0.1797,0.17855,0.072005,0.15756,0.10265,1.533826438106781
861.03,0.50226,161.17,2.8443,0.15443,0.34637,0.24804,0.093744,0.1799,0.17841,0.072207,0.15796,0.10282,1.5338824660058343
855.57,0.49067,162.84,2.825,0.1546,0.34588,0.24812,0.093725,0.1802,0.17835,0.072323,0.15814,0.10291,1.5342559286426443
