Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (curve),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
564.03,0.5032,119.11,12.413,0.087234,0.21891,0.067246,0.064329,0.12776,0.055323,0.6208036490400702
562.24,0.50535,118.92,12.456,0.087234,0.21942,0.067244,0.064316,0.12776,0.055322,0.6212968325358685
567.02,0.50532,117.93,12.457,0.087158,0.22165,0.06732,0.064302,0.12787,0.055321,0.623623555012105
567.05,0.50508,119.0,12.455,0.087192,0.22244,0.067275,0.064304,0.12779,0.055329,0.624326168230217
544.0,0.52984,118.17,12.455,0.08734,0.22276,0.067186,0.064308,0.12771,0.055289,0.6245947079027686
541.9,0.53041,119.09,12.45,0.087389,0.22379,0.067131,0.064319,0.12762,0.05529,0.6255360802622176
541.76,0.53054,119.08,12.457,0.087388,0.22383,0.067131,0.064317,0.12762,0.05529,0.6255727610036725
542.06,0.53033,118.98,12.497,0.087375,0.22384,0.067136,0.064306,0.12763,0.055293,0.6255786716472089
540.89,0.53025,118.97,12.332,0.087417,0.22385,0.067132,0.064352,0.12763,0.055282,0.6256614230471538
539.15,0.5313,118.92,12.45,0.087408,0.22409,0.06712,0.064325,0.12761,0.055285,0.6258363775555953
