param_type,param_name,base,out_u_bound,in_l_bound,in_u_bound,out_l_bound
input,cp_tau_s,10,1,2.3452756846207774,3.099266172031917,0
input,cp_b,10,1,0.7332374013740443,1.1942367487238292,0
input,cp_tau_0,10,1,2.3324788575233644,2.6849978763116344,0
input,cp_n,10,1,0.3581062452064158,1.2499317566341948,0
input,average_strain,10,1,-2.0637527467598558,-0.544211385181842,0
output,average_stress,10,1,2.898714214418647,3.597420923534393,0
output,g59_phi_1,10,1,0.22693484001260017,0.27815889624466333,0
output,g59_Phi,10,1,0.34836328438518616,0.36159563931823446,0
output,g59_phi_2,10,1,0.6328013519549085,0.6473829701146199,0
output,g63_phi_1,10,1,0.2847013785241777,0.32430303748683437,0
output,g63_Phi,10,1,0.4542348957482655,0.48664296902351173,0
output,g63_phi_2,10,1,0.5830173075575825,0.6051541483968904,0
output,g86_phi_1,10,1,0.3125792949061393,0.32489949705231336,0
output,g86_Phi,10,1,0.25408864691907407,0.2855123020662439,0
output,g86_phi_2,10,1,0.5576755937084334,0.5728832141971627,0
output,g237_phi_1,10,1,0.3351167502805864,0.3361994794666317,0
output,g237_Phi,10,1,0.3397296186846042,0.3585819967185138,0
output,g237_phi_2,10,1,0.6128156332022127,0.6204379773384615,0
output,g303_phi_1,10,1,0.40329214515825423,0.4131152755075093,0
output,g303_Phi,10,1,0.30085624311839365,0.3164316693669303,0
output,g303_phi_2,10,1,0.6501520431403346,0.6625311841256412,0
