Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
702.28,435.33,39.202,237.08,148.02,145.58,61.891,11.758,0.12014,0.26966,0.13257,0.11299,0.22301,0.025354,0.027388,0.10292,0.12233,1.1363738785662314
699.99,435.04,39.011,237.82,143.6,140.99,62.37,11.466,0.12029,0.2695,0.13294,0.11153,0.23146,0.025419,0.027348,0.10319,0.12291,1.1445945885454105
702.29,435.33,36.872,233.7,148.0,141.31,61.714,11.84,0.12008,0.26978,0.13252,0.11292,0.23792,0.025392,0.027297,0.10294,0.12242,1.1512653692567252
698.52,435.13,40.025,242.85,144.65,163.99,59.432,14.412,0.1197,0.27066,0.12994,0.11554,0.24831,0.024826,0.028335,0.10054,0.11368,1.1515361023765296
698.09,435.33,43.312,237.95,155.36,144.44,61.408,11.697,0.12012,0.26965,0.13245,0.11242,0.24552,0.025279,0.027158,0.10268,0.12288,1.1581694301317904
696.94,433.15,39.013,236.12,145.89,141.06,62.455,11.135,0.12031,0.26936,0.13325,0.10983,0.24541,0.025501,0.02721,0.10352,0.12435,1.1587260716245813
622.57,433.75,38.366,228.36,147.07,118.06,62.748,11.548,0.12012,0.27027,0.13197,0.10825,0.25389,0.025192,0.026562,0.10124,0.12179,1.1592740853598298
623.71,433.62,38.316,230.66,147.06,117.96,62.753,11.535,0.12016,0.2702,0.13198,0.10857,0.25548,0.025144,0.02656,0.10129,0.12177,1.161141836161585
606.41,438.91,39.005,223.96,136.17,117.67,63.277,11.549,0.12013,0.27054,0.13202,0.10689,0.262,0.025399,0.026755,0.10071,0.12038,1.1648313496113885
619.17,439.25,38.7,228.36,147.13,118.04,62.719,11.57,0.12005,0.27034,0.13192,0.10808,0.26182,0.025257,0.026559,0.10105,0.12148,1.1665547128364788
