Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g63),Error (g303),Error (g237),Error (g86),Error (g59),Error (curve),Reduced Error
613.04,0.50154,129.07,11.96,8.0913e-05,0.1285,0.067531,0.086829,0.055535,0.064266,0.22359,0.6262518778606756
607.84,0.50558,128.95,12.167,7.9252e-05,0.12848,0.067585,0.086774,0.055513,0.064188,0.22536,0.6278984260512143
614.16,0.5157,129.43,10.551,7.9206e-05,0.12811,0.066596,0.08788,0.055416,0.065091,0.22549,0.6285891094608826
609.27,0.50558,128.95,12.167,7.9252e-05,0.12849,0.06759,0.086772,0.055507,0.064187,0.22613,0.6286730220115044
606.55,0.50315,129.48,12.168,7.9252e-05,0.12849,0.067576,0.086764,0.055538,0.064187,0.22613,0.6286798148589622
607.41,0.51169,127.45,12.048,8.1047e-05,0.12847,0.067572,0.086821,0.05548,0.064229,0.22653,0.6291074026088954
613.22,0.51565,134.3,8.1184,8.1251e-05,0.12834,0.06404,0.090759,0.055138,0.066611,0.22754,0.6324302441679799
602.59,0.50566,129.33,12.504,7.9297e-05,0.12859,0.067751,0.086555,0.055548,0.064017,0.23097,0.633437391551582
606.52,0.50489,129.1,11.949,8.139e-05,0.12846,0.067501,0.086849,0.055547,0.06427,0.23085,0.633479026862818
608.84,0.50959,128.9,12.174,7.8834e-05,0.12845,0.067576,0.086802,0.055482,0.064191,0.23568,0.6381752262960247
