Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
461.59,1.0231,94.89,4.0715,0.056283,0.13614,0.054342,0.11171,0.31543,0.070279,0.7441808060725712
493.06,0.9011,96.128,4.0988,0.056194,0.13603,0.054352,0.11136,0.32296,0.070226,0.7511237476443984
465.33,1.0225,95.321,4.175,0.055969,0.1355,0.054455,0.11052,0.32629,0.070142,0.7528719090807673
454.99,0.93966,102.95,3.9753,0.056619,0.13636,0.054305,0.11319,0.3249,0.070762,0.756130862012392
461.87,1.0207,96.448,4.2831,0.055662,0.13484,0.054608,0.10935,0.34129,0.070048,0.7658024862010252
458.46,1.0232,98.051,4.0722,0.056308,0.13596,0.054364,0.11179,0.33881,0.070347,0.7675864541357942
495.4,0.85615,99.283,4.1179,0.056148,0.13575,0.054391,0.11123,0.34155,0.070299,0.7693728442548182
496.22,0.83956,100.88,4.1161,0.056162,0.13569,0.054398,0.11129,0.34504,0.070343,0.7729222015306874
505.22,0.90139,95.088,4.2628,0.055756,0.13518,0.054566,0.1095,0.34943,0.069964,0.7743967041318993
413.83,1.1643,93.337,3.9345,0.056793,0.13693,0.054275,0.11362,0.34244,0.070691,0.7747442859125455
