Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g86),Error (curve),Error (g237),Error (g303),Reduced Error
1944.9,0.012327,113.36,18.465,0.064919,0.13604,0.061267,0.31201,0.097914,0.064067,0.7362133131470023
1944.5,0.012547,112.91,18.472,0.064815,0.13625,0.061266,0.31306,0.097689,0.064182,0.7372628981360725
1911.2,0.012584,113.98,18.5,0.06499,0.13569,0.06117,0.31458,0.097958,0.064013,0.7384074194955044
1907.4,0.013136,113.9,18.531,0.064821,0.13592,0.061162,0.31503,0.097661,0.064146,0.7387342195396758
1907.6,0.013161,113.61,18.54,0.06479,0.13601,0.061173,0.31506,0.097595,0.064186,0.7388099382275813
1907.4,0.013202,114.0,18.538,0.064809,0.13592,0.061165,0.31598,0.097656,0.064145,0.739672987368131
1936.5,0.012448,113.96,18.537,0.064945,0.13589,0.061293,0.31554,0.098082,0.063974,0.7397215442144169
1944.9,0.012482,113.78,18.473,0.064902,0.136,0.061263,0.3162,0.097927,0.064047,0.7403416272640231
1908.9,0.013317,113.58,18.544,0.064737,0.13609,0.061175,0.31708,0.097505,0.064229,0.7408129688391307
1827.1,0.013293,113.91,18.13,0.065116,0.13503,0.060502,0.32003,0.096989,0.064398,0.7420650852194469
