Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1999.4,0.17105,150.07,5.4,0.12748,0.099675,0.064325,0.03675,0.11109,0.3417,0.13414,0.21851,0.046854,1.1805167805790049
1998.4,0.17106,150.04,5.3978,0.12747,0.099673,0.064338,0.03676,0.11109,0.34187,0.13414,0.21851,0.046856,1.1807038301009034
1992.5,0.17179,150.0,5.3856,0.12743,0.099665,0.064427,0.036826,0.1111,0.34224,0.13415,0.21852,0.046855,1.1812066482197432
1992.8,0.17179,149.95,5.3836,0.12742,0.099664,0.064441,0.036837,0.1111,0.34238,0.13415,0.21852,0.046854,1.1813645916375457
1993.9,0.17127,149.99,5.4022,0.1275,0.099676,0.0643,0.03673,0.11108,0.34274,0.13413,0.21851,0.046861,1.181531744422417
1997.2,0.17066,150.79,5.3917,0.12742,0.099667,0.064379,0.036786,0.1111,0.34292,0.13413,0.21852,0.046877,1.1818073980380872
2000.0,0.17059,150.81,5.3946,0.12743,0.09967,0.064364,0.036776,0.1111,0.34295,0.13413,0.21851,0.046872,1.1818100285348452
1994.2,0.17178,149.96,5.3715,0.12737,0.099653,0.06453,0.036904,0.11111,0.34292,0.13416,0.21852,0.04685,1.182015534771888
1999.6,0.171,150.03,5.372,0.12737,0.09965,0.064522,0.036898,0.11111,0.34296,0.13416,0.21852,0.046855,1.1820341440638746
1999.6,0.17058,150.06,5.4537,0.1277,0.099714,0.063937,0.036463,0.11105,0.34378,0.1341,0.21849,0.046859,1.1820958709463387
