Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1905.8,0.17672,150.7,5.4764,0.12774,0.1001,0.064215,0.036309,0.11135,0.22288,0.13402,0.21851,0.047038,1.06215842691652
1905.7,0.17671,150.65,5.4844,0.12777,0.10011,0.064159,0.036274,0.11134,0.22296,0.13401,0.21851,0.047031,1.0621639417291664
1905.7,0.17661,150.43,5.5014,0.12785,0.10013,0.064038,0.036201,0.11131,0.22421,0.13401,0.2185,0.047012,1.0632617339609343
1897.5,0.17665,150.63,5.5109,0.12788,0.10014,0.063967,0.036148,0.11131,0.22691,0.13399,0.2185,0.047023,1.0658614125911163
1828.8,0.18264,150.71,5.7679,0.12893,0.10037,0.062295,0.035074,0.11111,0.23258,0.13386,0.21837,0.046882,1.0694547942306623
1835.3,0.18168,150.38,5.8294,0.12917,0.10041,0.061863,0.034791,0.11106,0.23572,0.13384,0.21835,0.046888,1.072086083123872
1913.0,0.17716,150.52,5.4819,0.12778,0.1001,0.064188,0.036306,0.11134,0.23296,0.13402,0.21851,0.047007,1.0722157871318172
1900.2,0.17855,150.78,5.4777,0.12776,0.1001,0.064231,0.036342,0.11135,0.23349,0.13402,0.2185,0.046994,1.0727898712885324
1905.8,0.17786,150.68,5.4881,0.12781,0.10011,0.064151,0.036285,0.11133,0.23368,0.13402,0.2185,0.046997,1.0728794259065901
1901.0,0.17582,152.66,5.4071,0.12732,0.10002,0.064701,0.036565,0.11148,0.23305,0.13402,0.21855,0.0472,1.0729133610761417
