Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g63),Error (g303),Error (g237),Error (g86),Error (g59),Error (curve),Reduced Error
517.15,0.59962,128.75,11.537,7.7009e-05,0.12665,0.065993,0.088808,0.055159,0.06487,0.31883,0.7203047030801655
517.81,0.6001,128.75,11.352,7.7011e-05,0.12648,0.06591,0.088898,0.055109,0.065021,0.31924,0.7206531229798376
516.88,0.60262,128.75,11.529,7.7018e-05,0.12662,0.065994,0.088803,0.055154,0.064873,0.31943,0.7208781551395566
524.69,0.6025,126.75,11.499,7.7018e-05,0.12659,0.066071,0.088746,0.055094,0.064954,0.32163,0.7230926916772527
564.26,0.54711,126.41,11.505,7.699e-05,0.12693,0.06627,0.088588,0.05509,0.065057,0.32392,0.7258523540394923
516.68,0.59597,128.73,11.595,7.7022e-05,0.12673,0.066012,0.088789,0.055181,0.064827,0.32476,0.726300459603831
511.47,0.61262,135.81,7.3663,7.7075e-05,0.12742,0.062199,0.093147,0.054396,0.067315,0.32452,0.7289951974095987
528.81,0.60178,125.12,12.273,6.959e-05,0.12732,0.066566,0.088201,0.055322,0.064308,0.32922,0.7309454351635136
528.48,0.60653,124.51,12.223,7.025e-05,0.12724,0.066564,0.088212,0.055283,0.064372,0.32928,0.7309513008051232
520.76,0.60818,126.31,12.082,6.9864e-05,0.12711,0.066436,0.088318,0.055301,0.064399,0.33101,0.7325726705454241
