Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
934.63,0.26855,118.99,19.042,0.055776,0.27711,0.12973,0.070506,0.084542,0.062138,0.6798074658520993
933.1,0.26897,119.64,19.191,0.055778,0.27929,0.12982,0.070581,0.08449,0.062119,0.68207204689677
925.36,0.27002,119.6,19.236,0.055773,0.28015,0.12988,0.07065,0.084448,0.062124,0.6830245759034367
925.29,0.26993,119.6,19.227,0.055773,0.28032,0.12988,0.070644,0.084452,0.062126,0.6831929372807232
941.25,0.267,118.97,19.082,0.05578,0.28098,0.12971,0.070484,0.084553,0.062124,0.6836389192451222
937.22,0.26859,119.03,19.08,0.055778,0.2814,0.12974,0.070516,0.084531,0.062126,0.6840916710436065
917.49,0.27565,119.53,19.037,0.055769,0.28128,0.12986,0.070635,0.084453,0.062141,0.6841436517163157
932.77,0.27006,119.53,19.189,0.055777,0.28215,0.12983,0.070599,0.084474,0.062115,0.6849480599028204
941.67,0.26021,121.09,19.069,0.05579,0.28359,0.12956,0.070301,0.084696,0.062153,0.6860947900483367
934.34,0.26746,120.42,19.564,0.055776,0.2832,0.12999,0.070731,0.084381,0.062076,0.6861524249028733
