Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1974.2,0.17818,184.41,3.1001,0.12022,0.29287,0.094649,0.072859,0.1233,0.81106,0.13888,0.2298,0.047291,1.9309180486713597
1967.4,0.17884,186.28,3.0445,0.12016,0.2932,0.095355,0.073754,0.12347,0.81063,0.13923,0.22984,0.047065,1.9327029832614688
1976.6,0.17819,190.7,3.0544,0.11989,0.30573,0.095224,0.07343,0.12368,0.80667,0.13913,0.22979,0.04733,1.9408798472708781
1954.0,0.18305,184.22,3.1552,0.12014,0.28172,0.093573,0.071409,0.12281,0.84624,0.13847,0.22952,0.047472,1.9513575066054702
1974.0,0.17378,190.1,3.1551,0.11989,0.32272,0.093763,0.07116,0.12341,0.80556,0.13836,0.22978,0.048236,1.9528667711465766
1966.8,0.17432,189.12,3.1954,0.11991,0.31925,0.093124,0.070248,0.12318,0.82732,0.13807,0.2297,0.048459,1.9692595316712247
1959.3,0.17376,191.72,3.1323,0.11983,0.32721,0.093856,0.071179,0.12338,0.81748,0.13842,0.22975,0.048282,1.9693811685498828
1962.6,0.17261,190.7,3.0599,0.11999,0.32318,0.094958,0.072833,0.12363,0.82142,0.13893,0.22992,0.047784,1.9726394925152073
1949.7,0.17487,193.84,3.045,0.11981,0.32356,0.094928,0.07272,0.12361,0.8237,0.13896,0.22979,0.047799,1.974877284880987
1973.7,0.19493,200.45,2.3706,0.12061,0.21366,0.10494,0.086961,0.12615,0.90476,0.14425,0.23083,0.043277,1.9754317103001757
