Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g56),Error (g80),Error (curve),Error (g223),Error (g237),Error (g72),Error (g262),Error (g126),Reduced Error
282.67,533.47,74.562,2.0002,0.181,0.12034,0.22832,0.29969,0.16672,0.17034,0.15658,0.11967,0.10885,1.5515215621489231
283.01,536.69,74.556,1.9874,0.18136,0.12086,0.22822,0.30046,0.16692,0.17059,0.15612,0.11963,0.10937,1.553538557062337
281.55,533.47,74.58,1.9754,0.18164,0.12102,0.2282,0.30063,0.16707,0.17084,0.1559,0.11983,0.10974,1.554867838823829
279.34,540.8,75.222,1.9968,0.18105,0.12034,0.22828,0.31022,0.16682,0.17047,0.15645,0.11971,0.10908,1.562403994352903
275.59,524.2,74.762,1.8932,0.18368,0.12287,0.22791,0.30577,0.16815,0.17248,0.15426,0.12072,0.11253,1.5683630535048454
258.91,525.02,76.343,1.8824,0.18368,0.12166,0.22803,0.30483,0.16838,0.1731,0.15452,0.12173,0.11304,1.5689600397797525
281.86,532.94,74.657,1.8718,0.18437,0.12434,0.22769,0.30374,0.16846,0.1727,0.15469,0.12028,0.11335,1.5696103547795779
310.15,506.81,71.82,2.0889,0.17907,0.11926,0.22879,0.32934,0.16529,0.16802,0.15885,0.11849,0.10523,1.5723511396132044
271.6,531.91,75.15,1.9698,0.18164,0.12025,0.22828,0.31994,0.16721,0.17123,0.15608,0.12046,0.11003,1.5751246859876347
292.21,507.13,73.449,2.1169,0.17808,0.11688,0.22914,0.33548,0.16499,0.16781,0.16022,0.11933,0.1043,1.5762317661009577
