Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g86),Error (g63),Error (g59),Reduced Error
699.95,0.35718,126.92,19.976,0.084685,0.070128,0.22534,0.055859,0.13032,0.062099,0.6284352370375579
691.7,0.36072,126.79,19.976,0.084718,0.070081,0.22635,0.055844,0.13028,0.062121,0.629392815969329
717.76,0.35016,126.58,19.999,0.084578,0.070284,0.22745,0.055879,0.13044,0.062063,0.630685416862894
699.45,0.35865,127.04,19.963,0.084692,0.070117,0.22854,0.055862,0.13031,0.062092,0.6316164417217397
697.93,0.35901,127.3,19.974,0.084725,0.070074,0.22871,0.05587,0.13031,0.062087,0.6317759175027325
703.67,0.35718,126.92,19.976,0.084665,0.070157,0.22893,0.055867,0.13035,0.062081,0.6320458101425767
701.88,0.35732,126.09,19.889,0.084579,0.07026,0.22961,0.055816,0.13027,0.062137,0.6326732726037526
698.95,0.35333,128.17,19.889,0.084764,0.070008,0.23007,0.055865,0.13021,0.062119,0.6330405449517247
693.82,0.36201,127.31,19.976,0.084747,0.070044,0.23131,0.055868,0.1303,0.062087,0.6343519733863773
693.32,0.35699,126.98,19.895,0.084698,0.070094,0.2316,0.055825,0.13021,0.062155,0.6345745894039204
