Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
256.8,0.020167,57.561,14.251,1.3406e-05,0.27403,0.038273,0.031583,0.026864,0.32674,0.021178,0.11977873204571253
267.51,0.018279,57.165,15.042,1.3395e-05,0.27487,0.038036,0.031717,0.026736,0.32873,0.021237,0.12022169048008959
288.48,0.018815,57.753,14.444,1.7789e-05,0.27596,0.038101,0.031645,0.026665,0.32835,0.021332,0.12034215166755713
262.87,0.018417,57.965,15.04,1.3135e-05,0.27423,0.038157,0.031646,0.026766,0.3543,0.021202,0.12438347303919806
259.2,0.017847,57.232,14.837,1.0769e-05,0.27432,0.037908,0.031777,0.026818,0.3577,0.021142,0.12494445625054838
260.73,0.020471,54.945,14.615,7.2307e-06,0.27528,0.037076,0.032231,0.026881,0.36154,0.021016,0.12567111469117762
253.68,0.012031,57.379,15.403,1.3592e-05,0.27375,0.038555,0.031452,0.026767,0.37858,0.021225,0.12838808068949872
273.02,0.0016361,58.142,15.018,1.8465e-05,0.27497,0.039206,0.031032,0.026649,0.37855,0.02129,0.12861625641647498
299.25,0.55506,54.054,14.252,1.3628e-05,0.27691,0.035856,0.032832,0.027037,0.38305,0.020844,0.12942109723368794
259.82,0.03893,56.88,14.624,1.3163e-05,0.27437,0.037843,0.031826,0.026864,0.39432,0.021129,0.13105796806288597
