Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g126),Error (g237),Error (g56),Error (curve),Error (g80),Error (g262),Error (g72),Error (g223),Error (g51),Reduced Error
224.43,230.36,61.585,8.2937,0.022412,0.092997,0.02565,0.2977,0.2649,0.1227,0.30432,0.13254,0.13279,1.396004030912596
223.72,231.97,61.94,8.1062,0.022392,0.0931,0.026022,0.31868,0.26481,0.12284,0.28766,0.13287,0.13325,1.4016254999123516
219.62,236.96,61.306,8.3846,0.022233,0.092943,0.025327,0.30664,0.26536,0.12309,0.31229,0.13279,0.13295,1.4136200080958288
206.53,272.64,63.512,7.5502,0.021899,0.094356,0.026685,0.39799,0.26563,0.12465,0.21331,0.13567,0.13575,1.4159471416861023
235.13,239.01,60.821,8.2349,0.022384,0.093273,0.026236,0.30826,0.26484,0.12259,0.31824,0.13271,0.13277,1.421309342462877
218.3,253.04,60.961,8.3728,0.021969,0.092967,0.025394,0.32391,0.26596,0.12369,0.31263,0.13336,0.13342,1.4332993679853314
204.97,268.84,62.417,7.8681,0.021797,0.093963,0.026022,0.39152,0.26602,0.1246,0.24497,0.13521,0.13514,1.439244241519667
233.39,235.08,61.515,8.2215,0.022425,0.093004,0.026095,0.33412,0.2648,0.12257,0.31161,0.13243,0.13273,1.4397828924106177
201.71,264.14,62.717,8.236,0.021774,0.093047,0.025288,0.37,0.26657,0.12465,0.27784,0.1342,0.13437,1.447742023707189
203.58,273.3,63.75,7.7216,0.021836,0.093926,0.02616,0.42513,0.26602,0.1248,0.2257,0.1353,0.13546,1.45434639927748
