Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1997.5,0.18899,146.49,5.8748,0.12926,0.1023,0.060969,0.034867,0.11072,0.36967,0.13416,0.21844,0.046958,1.2073525697836
1988.1,0.18773,147.68,5.8751,0.1292,0.10231,0.060944,0.034745,0.11077,0.37149,0.13413,0.21846,0.047062,1.2091115425593628
1997.5,0.18869,146.18,5.9073,0.12939,0.10237,0.06075,0.034678,0.1107,0.37261,0.13417,0.21844,0.046993,1.2101045201300755
1998.0,0.18472,147.75,5.9152,0.12923,0.10236,0.060708,0.034476,0.11078,0.37463,0.13411,0.21847,0.047179,1.2119443476611453
1997.9,0.18978,145.89,5.8888,0.12936,0.10233,0.060872,0.034822,0.11069,0.37487,0.13418,0.21844,0.046932,1.2124982561637485
1996.6,0.186,147.01,5.9911,0.12958,0.10255,0.060209,0.034112,0.11072,0.37936,0.13414,0.21846,0.04721,1.2163374771033297
1997.2,0.18625,147.01,5.9862,0.12956,0.10254,0.060245,0.034149,0.11072,0.37945,0.13414,0.21846,0.047195,1.216460401893426
1989.5,0.18617,147.75,5.8536,0.12908,0.10224,0.061077,0.034826,0.11079,0.37988,0.13412,0.21847,0.047074,1.2175503117861723
1991.7,0.19195,144.9,5.8064,0.12919,0.10212,0.061364,0.035339,0.11067,0.37952,0.1342,0.21844,0.04677,1.217605140916014
1998.1,0.19159,146.47,5.6127,0.12829,0.10158,0.062769,0.036616,0.11083,0.379,0.13417,0.21844,0.04662,1.2183149336274925
