Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
39.087,0.92168,65.537,6.1626,0.10243,0.1574,0.62157,0.20345,0.30665,0.18194,1.5909,0.34205,0.15577,3.6621382072434874
47.735,19.415,60.54,1.3381,0.16983,0.11471,1.2288,0.17288,0.26712,0.15936,0.32907,1.1049,0.12438,3.6710737845596717
38.891,0.89927,73.805,6.5583,0.10203,0.15666,0.59238,0.20214,0.3069,0.18139,1.4391,0.5399,0.15528,3.675812506933497
473.64,11.063,12.781,5.4232,0.1361,0.12916,1.7767,0.14935,0.25901,0.17749,0.60637,0.42854,0.12632,3.7890517569732056
97.692,19.673,37.845,1.436,0.16921,0.11634,1.7191,0.1749,0.26758,0.15986,0.77223,0.50295,0.12448,4.006702194869783
38.713,1.0031,85.013,6.3906,0.10403,0.15382,0.91388,0.19948,0.3045,0.17877,1.5025,0.50427,0.15312,4.014339824728036
65.228,18.289,57.877,1.5606,0.16685,0.11479,1.0864,0.17284,0.267,0.15881,1.5219,0.41875,0.12448,4.031908265126699
55.835,12.167,53.562,1.5875,0.16331,0.11778,1.3832,0.1806,0.27068,0.1563,1.2972,0.34983,0.12657,4.045358642790229
828.73,11.368,5.7985,6.1653,0.13821,0.13082,2.1157,0.13824,0.25254,0.18347,0.51523,0.455,0.11998,4.049172965479809
62.416,1.5696,44.279,8.1241,0.10684,0.15048,1.6458,0.18137,0.29166,0.17714,0.36034,1.0196,0.14873,4.082001886801865
