Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g238),Error (g39),Error (g138),Error (g243),Error (g164),Error (g50),Error (curve),Error (g185),Error (g223),Reduced Error
674.23,0.58336,136.23,8.7784,0.15882,0.12055,0.12526,0.05708,0.13971,0.1152,0.31593,0.070997,0.4599,1.5634417778425296
671.23,0.57408,138.45,8.7237,0.15901,0.12019,0.12535,0.057178,0.13955,0.11676,0.29016,0.070729,0.48745,1.5663802913177096
670.71,0.57981,138.24,8.7043,0.15898,0.12021,0.12542,0.057205,0.13949,0.11667,0.29508,0.070695,0.48362,1.5673808696327125
671.59,0.57357,138.67,8.7435,0.15901,0.12018,0.1253,0.057151,0.1396,0.1168,0.2907,0.07074,0.48817,1.5676463559166387
673.84,0.57488,139.08,8.7414,0.15899,0.12016,0.12532,0.057159,0.13957,0.1168,0.29851,0.070696,0.48757,1.5747832416099055
669.64,0.57424,137.77,8.6793,0.15902,0.12022,0.12546,0.057236,0.13946,0.11674,0.29883,0.070719,0.48969,1.5773618362014297
670.72,0.57726,139.48,8.7363,0.15904,0.12006,0.12534,0.057172,0.13956,0.11726,0.30326,0.070617,0.48702,1.5793271386928027
669.77,0.57527,138.5,8.6397,0.15906,0.1201,0.12557,0.0573,0.13933,0.11724,0.28872,0.070585,0.50372,1.581623613819237
672.21,0.56765,140.44,8.691,0.15913,0.11991,0.12541,0.057246,0.13943,0.11792,0.2935,0.070505,0.4989,1.5819660441218597
659.5,0.58924,138.45,8.7383,0.15908,0.12003,0.12535,0.05716,0.1396,0.11757,0.3157,0.070626,0.47728,1.582404352663042
