Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
588.59,4.8669,134.52,262.27,390.8,63.127,86.944,14.228,0.22319,0.13817,0.038851,0.8664,0.056972,0.16855,0.058163,0.11964,0.1392,1.809114977799101
583.14,4.1603,133.91,243.81,387.63,61.394,86.95,14.423,0.2231,0.13769,0.04071,0.93093,0.056797,0.11915,0.05858,0.12034,0.1394,1.826702355142848
588.6,4.8961,135.41,261.25,386.31,60.847,86.93,14.752,0.22325,0.13803,0.039459,0.86222,0.057158,0.1957,0.057933,0.11986,0.13893,1.832546338436698
573.92,4.1947,134.68,247.21,375.16,57.906,86.951,14.976,0.22325,0.1379,0.040393,0.91832,0.057204,0.14023,0.058315,0.12037,0.13888,1.8348588600343543
573.95,4.1931,134.12,209.94,380.83,60.978,86.499,15.415,0.22372,0.13747,0.041948,0.94668,0.057692,0.11182,0.056995,0.12121,0.13895,1.8364898660138869
574.11,4.1471,135.6,239.04,395.38,61.896,86.952,14.975,0.22307,0.13736,0.04163,0.94652,0.056731,0.1142,0.058178,0.12075,0.13931,1.8377431212387272
588.6,4.8439,137.1,258.59,408.72,60.891,86.931,14.76,0.22302,0.13749,0.040906,0.92317,0.056575,0.13897,0.058194,0.12024,0.13959,1.8381464370742888
574.0,3.7589,134.69,240.11,360.91,61.029,86.95,14.668,0.22338,0.13837,0.039389,0.93327,0.057469,0.13355,0.058297,0.12032,0.13865,1.8426889878706507
574.45,4.39,134.13,247.36,371.43,64.933,86.819,14.987,0.22342,0.13827,0.038944,0.92474,0.057521,0.1545,0.057579,0.1201,0.13842,1.8534918642315685
587.4,4.4821,135.02,241.82,382.15,57.9,86.946,13.669,0.22341,0.13805,0.039431,0.96343,0.05719,0.11885,0.058148,0.11993,0.1395,1.857935834402145
