Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1512.8,0.337,201.23,1.5178,0.18857,0.12174,0.51015,0.17071,0.25536,0.18705,0.20004,0.10375,0.12596,1.8633415989653919
1516.1,0.33691,199.7,1.521,0.18848,0.12167,0.5113,0.17058,0.25535,0.18697,0.20033,0.10378,0.12593,1.8643912544515322
1504.7,0.34342,199.94,1.5376,0.18801,0.12127,0.48924,0.17004,0.25532,0.18657,0.22766,0.1042,0.12576,1.86807471003233
1507.3,0.34282,199.96,1.5375,0.18801,0.12128,0.49292,0.17004,0.25532,0.18657,0.22643,0.10423,0.12576,1.8705587213379309
1534.0,0.33212,199.52,1.5243,0.18838,0.12162,0.52211,0.17045,0.25534,0.1869,0.20068,0.10402,0.12591,1.8754087165159739
1534.1,0.33684,197.09,1.5251,0.18834,0.12159,0.5261,0.17039,0.25531,0.18689,0.20044,0.10392,0.1259,1.8788765040474826
1533.9,0.33685,197.15,1.5241,0.18837,0.12162,0.52667,0.17043,0.25531,0.18691,0.20025,0.10389,0.12591,1.8793488678104464
1531.5,0.33319,199.01,1.5167,0.18859,0.12179,0.52829,0.17072,0.25535,0.18709,0.19977,0.10374,0.12598,1.8813171421073491
1534.5,0.33224,200.09,1.529,0.18824,0.12151,0.52588,0.17028,0.25533,0.18679,0.2032,0.10422,0.12586,1.8813180352633816
1522.4,0.33324,198.7,1.5229,0.18842,0.12164,0.53068,0.17051,0.25535,0.18693,0.20047,0.10381,0.12591,1.8837225339460304
