iteration,cp_lh_0,cp_lh_1,cp_lh_2,cp_lh_3,cp_lh_4,cp_lh_5,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,892.3452159870509,364.35725334905317,96.99861510887136,43.32324411680649,104.50196401725165,832.1205406459192,290.38022298554114,7.739189052644333,1.5212491626708955,0.09407880675512109,1.5511953769414248
2,754.8484859480626,979.783840768433,340.78396780234795,973.1321451574686,169.30469779602834,257.6159066249851,177.56956483719975,10.25988768152399,0.9580418393224253,0.18006672416104202,1.0153588577956145
3,660.6350331644009,779.6317388931582,33.28723883056339,338.7208199029674,806.40107256333,891.0456142151619,53.45354423189153,8.174377071946239,0.34065868743711536,0.0963897552643695,0.37134049946460024
4,941.1105648806712,875.8281389591843,901.9129062613936,582.9933088255815,997.8901863925739,57.652434395371905,136.62606945431804,19.561908081137638,1.3079108290129524,0.20006884114130502,1.3715947190655642
5,720.5179902094673,527.7003344247771,581.4476683168624,789.858984458383,423.64696255485245,67.7703417351188,240.74947291499782,4.837535596095291,1.348569526710188,0.0945244132019111,1.378657581918078
6,322.69886646486907,406.5156937833656,552.0017293313733,824.9708480632454,361.58745277571467,483.00331036397836,75.27061541192853,11.373954133554081,0.2746990761987762,0.12051312990385198,0.3130595968621237
7,129.31168755255618,609.9428217694978,146.84003640938957,922.8843500954192,679.1277942630566,946.0449646293504,395.0970732880479,3.170098860419112,2.2194169966518045,0.09968211097677987,2.251146798051383
8,501.95205881568927,213.86109394655406,952.3536264039308,465.1749621503997,741.2599611561549,628.2874393333676,476.36535056160653,16.21199905494635,3.501400521490154,0.21049708860858424,3.568403825807172
9,243.6409508379204,460.3388683210564,310.0588049859942,299.2657880984076,597.6939137883165,623.7708023997229,356.966652861272,5.787245502883772,2.1665106353998422,0.09298667366052255,2.1961092129093323
10,822.436141941578,250.46259816840387,711.3774417470382,233.31392219322194,512.8023093164282,166.97916756577473,317.13746366047354,15.226627386612428,2.1196488632931816,0.2142777872929233,2.1878556013781063
11,303.4589336355867,684.0184949327116,441.7683639145299,695.730821916978,843.4497633309579,523.6874601392939,214.95993088220857,16.484875468966237,1.5786805337018273,0.1920721137173506,1.6398189863582773
12,100.8723647586087,123.16154967922613,220.08140362778894,68.34862669267264,221.75409396852007,420.4514426745109,275.68477663546025,17.6296704464114,1.4038884993095055,0.20128901857913237,1.467960783903476
13,9.57416671387179,180.56976310753166,832.1503330521404,153.725730281405,486.9218288092761,799.4621052062657,14.446426956113603,3.685722143402792,0.26941142051888073,0.09533676308573627,0.29975805472583245
14,468.3813501781311,827.966655390508,377.44962218924223,626.8035904760841,267.2010608833834,326.09425378606693,464.41066372340055,13.552911538358801,3.0295156257303812,0.23267950276551377,3.103579811772973
15,578.0673533778032,3.16743920656596,790.4941719007575,508.3226913673059,54.735220532204515,194.35406458941,406.4423786532712,2.083640443969581,1.6244139799045596,0.1064603712098181,1.6583013685474408
16,406.8483380563978,743.8559628051773,655.9535673262716,433.54246999394667,898.6761898297389,689.0127725120783,114.32216392242356,12.323093833768285,0.970348123826864,0.09408434898276301,1.0002961022432433
17,0.6428,195.45,838.93,7.9514,442.71,846.11,7.0372,9.7727,0.30071971191871444,0.09827568013412949,0.33200183247684384
18,3.2214,11.673,814.07,672.59,368.19,948.0,30.088,5.6003,0.17947097249767294,0.0946767623622141,0.2096075219494391
19,7.0617e-06,14.054,811.22,485.92,411.31,775.31,12.055,2.3783,0.3607063144212176,0.10336569212738776,0.3936086361175951
20,65.016,2.3114,827.82,472.69,442.87,833.14,44.434,3.377,0.12481039121904401,0.09623142688668947,0.1554418057586499
21,131.97,4.2049,607.81,497.59,375.81,860.09,64.12,10.035,0.1471679766205316,0.0953794812403907,0.17752820843842937
22,97.662,0.31016,915.75,276.61,431.01,852.15,91.904,3.5934,0.2865774759876647,0.09520503321951694,0.3168821792758931
23,2.6365,0.0021747,773.14,652.71,654.45,838.33,46.955,1.1641,0.30459252381402563,0.1236777783288272,0.3439603833573387
24,182.59,0.0018125,810.46,525.31,427.85,844.55,73.603,4.8373,0.23531798519471434,0.09315551199247227,0.2649703056144309
25,81.586,0.010091,815.34,453.45,485.41,957.2,86.321,2.5764,0.201841352508905,0.10176223964865166,0.23423327942927494
26,0.00037934,4.1259e-08,805.25,473.49,188.52,806.12,88.932,3.9166,0.1017100945095241,0.09413997886686723,0.13167578046798106
27,0.022613,4.4997e-07,795.67,473.94,179.44,794.36,82.578,3.1739,0.031383060914265126,0.0964149918478159,0.06207290599575452
28,0.019865,8.2956e-06,775.5,479.46,416.39,804.23,89.737,2.887,0.1655804077008877,0.09873052037870125,0.19700730840549852
29,0.022774,4.4286e-07,805.05,473.08,184.77,818.69,80.508,3.2288,0.02407881425666968,0.0963142131107143,0.05473658046982251
30,0.040486,2.1068e-07,818.15,437.6,181.05,866.87,82.269,3.3401,0.033596789868086244,0.0960740451740105,0.06417810825264189
31,0.023563,4.5226e-07,820.62,485.05,177.48,783.45,83.8,3.1308,0.031991121560136046,0.09669380292809582,0.06276971496485612
32,0.019868,5.322e-07,849.81,475.02,182.59,796.61,79.264,3.1818,0.020472726169562902,0.0965680927956535,0.0512113047963331
33,0.019773,5.2449e-07,865.42,486.7,182.54,818.83,81.079,3.1253,0.01997940498805382,0.09689560140764736,0.050822232843832
