evals,errors
1000,0.029106029007489174
2000,0.029071247294826356
3000,0.02907015971658932
4000,0.029070117657792993
5000,0.029053234790325497
6000,0.029053088852639648
7000,0.029053084787141734
8000,0.029053084695461754
9000,0.02905308468647732
10000,0.029053084685816268
11000,0.029053084685721542
12000,0.029053084685712903
13000,0.029053084685711685
14000,0.0290530846857115
15000,0.029032255638442524
16000,0.02903218169046924
17000,0.029032181660905924
18000,0.02903218166088519
19000,0.029032181660885094
20000,0.029032181660885094
21000,0.029032181660885094
22000,0.029032181660885094
23000,0.029032181660885094
24000,0.029032181660885094
25000,0.029032181660885094
26000,0.029032181660885094
27000,0.029032181660885094
28000,0.029032181660885094
29000,0.029032181660885094
30000,0.029032181660885094
31000,0.029032181660885094
32000,0.029032181660885094
33000,0.029032181660885094
34000,0.029032181660885094
35000,0.029032181660885094
36000,0.029032181660885094
37000,0.029032181660885094
38000,0.024095694217003416
39000,0.02409271469160188
40000,0.024092700963925216
41000,0.024092697626892468
42000,0.023978665761184965
43000,0.02397817999011623
44000,0.023978163437586353
45000,0.023978163160544914
46000,0.02397816315565989
47000,0.023978163155469943
48000,0.023978163155461644
49000,0.023978163155461196
50000,0.023699797754681114
