Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
849.76,0.58876,159.98,2.3244,0.0237,0.023699797754681114
849.73,0.58876,160.01,2.3244,0.023704,0.023704364747608498
849.72,0.58876,160.05,2.3244,0.023711,0.023711099432009962
850.13,0.58876,159.95,2.3244,0.023719,0.023718831108372012
849.75,0.58876,158.79,2.3244,0.023771,0.023771229904492333
850.16,0.58876,158.76,2.3244,0.02378,0.023779843864943324
850.13,0.58876,158.76,2.3244,0.02378,0.02377988564381147
850.13,0.58876,158.76,2.3244,0.02378,0.023779890391031656
850.12,0.58876,158.76,2.3244,0.02378,0.023779893629992173
850.38,0.58876,158.76,2.3244,0.02378,0.02377991512941736
