Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g207),Error (curve),Error (g72),Error (g262),Error (g240),Error (g14),Error (g101),Error (g287),Error (g95),Reduced Error
0.027842,408.01,612.32,786.1,152.51,373.75,69.998,11.078,0.039466,0.78717,0.34327,0.13785,0.22213,0.053002,0.040909,0.10036,0.14922,1.8733672126968208
0.03052,389.27,635.81,788.12,175.04,344.35,70.89,11.129,0.040386,0.49344,0.64921,0.13651,0.22272,0.051923,0.038932,0.10105,0.14812,1.8822984735081867
0.036518,5.0296,617.18,750.59,3.3338,334.6,71.197,11.132,0.035964,0.91099,0.1895,0.12697,0.22678,0.083586,0.051294,0.11296,0.15189,1.8899433813673336
0.030512,383.14,635.82,788.12,177.96,348.61,70.035,11.109,0.040144,0.52528,0.63576,0.13673,0.22268,0.051837,0.039032,0.10114,0.14808,1.9006691800420454
0.033175,408.52,635.31,788.43,164.43,343.02,70.763,11.131,0.040879,0.48031,0.68816,0.13622,0.22265,0.052225,0.039204,0.1007,0.14871,1.909061363484728
0.06044,420.32,614.2,753.23,156.76,345.47,70.133,10.916,0.040866,0.58302,0.60772,0.13628,0.22272,0.052519,0.039858,0.10106,0.14873,1.9327734526647358
0.046151,405.33,633.19,780.91,163.49,341.55,69.601,11.027,0.040953,0.58045,0.65054,0.13598,0.22281,0.052233,0.039381,0.101,0.1489,1.9722484547260706
2.5849,0.26461,631.42,752.26,0.41833,214.81,74.729,10.974,0.037424,0.92269,0.30016,0.11554,0.22698,0.089282,0.048345,0.12659,0.12512,1.9921348924659772
0.038468,408.41,630.59,750.54,151.74,351.57,68.929,11.111,0.040674,0.62416,0.62471,0.13699,0.22268,0.052673,0.040046,0.1004,0.14999,1.9923288758216713
0.033467,418.59,635.49,788.43,157.09,339.8,72.615,10.99,0.04108,0.47538,0.77633,0.13607,0.22268,0.052573,0.039367,0.10063,0.14886,1.992961966782599
