Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1395.8,0.19264,122.84,4.5337,0.1092,0.060815,0.1061,0.30087,0.14027,0.034528,0.25013,0.11328,0.14019,1.2553775284505864
1456.3,0.17999,125.15,4.8251,0.11004,0.055919,0.1034,0.31325,0.13862,0.033234,0.25183,0.11358,0.1377,1.2575801586824022
1446.9,0.18116,125.24,4.8253,0.10994,0.055856,0.10337,0.31412,0.13864,0.033209,0.25183,0.1136,0.13771,1.2582693824592543
1446.4,0.18107,125.17,4.8306,0.10994,0.05577,0.10332,0.31499,0.13862,0.03318,0.25186,0.1136,0.13767,1.2589522850841588
1448.6,0.18172,124.33,4.9105,0.10977,0.054499,0.1026,0.32098,0.13816,0.032746,0.25231,0.11369,0.13708,1.2618357805372498
1447.5,0.18106,125.14,4.8648,0.10985,0.055225,0.10301,0.31941,0.13842,0.033009,0.25205,0.11365,0.13741,1.2620437353413583
1440.2,0.18182,125.21,4.8539,0.1098,0.055352,0.10309,0.31925,0.1385,0.033047,0.25199,0.11365,0.1375,1.2621897659535537
1454.5,0.18089,124.2,4.8884,0.11002,0.054945,0.1028,0.32088,0.13826,0.032862,0.25219,0.11365,0.13721,1.2628173853119427
1449.9,0.18226,124.25,4.8727,0.11002,0.055193,0.10292,0.32088,0.13834,0.032923,0.2521,0.11364,0.13733,1.2633413947380858
1446.0,0.18154,125.29,4.8579,0.10983,0.055322,0.10307,0.32133,0.13845,0.033041,0.25201,0.11365,0.13747,1.2641752449442265
