Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1862.8,0.13296,123.38,4.316,0.11324,0.10892,0.10557,0.066375,0.03625,0.14242,0.14082,0.24894,0.29496,1.2574943422163858
1958.0,0.1348,123.13,4.2304,0.11307,0.10989,0.10902,0.068554,0.036959,0.14299,0.14149,0.2483,0.30242,1.2726930255217603
1954.4,0.13404,123.06,4.2518,0.11307,0.10966,0.10848,0.068023,0.036804,0.1428,0.14134,0.24844,0.30548,1.274102157220114
1951.6,0.13566,123.15,4.1695,0.1131,0.1106,0.10971,0.069847,0.037409,0.14355,0.14191,0.24789,0.30154,1.275558544389921
1869.1,0.13129,123.42,4.3069,0.11324,0.10903,0.10587,0.066446,0.036342,0.14248,0.14089,0.24888,0.314,1.2771794356660318
1959.7,0.13302,123.32,4.2653,0.11305,0.10956,0.10803,0.067641,0.03675,0.14266,0.14126,0.24851,0.31023,1.2777033613620585
1957.9,0.13009,127.12,3.8041,0.11284,0.1162,0.10923,0.076586,0.041311,0.14706,0.14478,0.24509,0.28623,1.2793226181850486
1984.4,0.13144,123.38,4.2995,0.11297,0.10932,0.10694,0.066794,0.036581,0.14231,0.14106,0.24869,0.31575,1.2804107912052973
1958.0,0.12972,127.12,3.7907,0.11283,0.11642,0.10913,0.076847,0.041476,0.1472,0.14488,0.24499,0.28697,1.2807455157483627
1933.5,0.12981,126.94,3.7979,0.11289,0.11627,0.1092,0.07672,0.041356,0.14718,0.14481,0.24505,0.28786,1.2813475709765112
