Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1483.2,18.503,7.1344,2.0668,0.1051,0.15612,0.13355,0.10531,0.099964,0.16359,0.15959,0.2313,2.1399,3.294433872819743
573.89,4.6662,13.573,5.9969,0.10252,0.11593,0.48836,0.046879,0.047479,0.12402,0.13251,0.24566,2.0337,3.337037656221949
1317.4,18.02,9.8051,3.1077,0.10045,0.14237,0.17619,0.088879,0.082122,0.14958,0.1525,0.23489,2.2428,3.3697402296849446
509.84,4.725,14.687,5.7245,0.10303,0.11592,0.43069,0.04496,0.046646,0.12455,0.13253,0.24567,2.1728,3.4168329959503305
573.75,4.7151,13.947,5.9521,0.1026,0.11589,0.47953,0.046814,0.04736,0.12417,0.13255,0.24565,2.1325,3.4270711616987786
1498.7,7.1643,8.483,8.7279,0.098516,0.11888,0.81297,0.057157,0.056539,0.12289,0.13576,0.24433,1.7833,3.4303852099748706
508.8,4.8046,14.92,5.923,0.10293,0.11543,0.45644,0.043866,0.046472,0.12387,0.13227,0.24594,2.1638,3.4310141443572717
506.81,4.6948,14.842,5.9626,0.10294,0.11525,0.46785,0.04371,0.046319,0.12369,0.13209,0.24603,2.158,3.435836016211298
508.83,4.5867,15.104,5.9596,0.10304,0.11502,0.47506,0.043517,0.046021,0.12359,0.13191,0.2461,2.1605,3.4447896043756208
1500.2,6.9347,9.53,10.391,0.0985,0.1175,0.99954,0.05362,0.054928,0.11965,0.13443,0.24487,1.6316,3.4546361072105847
