Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
292.25,209.61,76.137,10.326,0.049927,0.14005,0.1108,0.10715,0.28212,0.041087,0.13427,0.02923,0.22206,1.1166962614706533
292.26,209.61,76.135,10.324,0.049927,0.14005,0.1108,0.10715,0.28214,0.041093,0.13427,0.029231,0.22206,1.1167207193988327
288.85,203.62,76.505,10.22,0.05013,0.1397,0.11084,0.10708,0.28538,0.041234,0.13415,0.029389,0.22203,1.1199410140623327
292.57,200.51,75.925,10.423,0.049822,0.14029,0.11083,0.10722,0.28536,0.040736,0.13425,0.029308,0.22216,1.1199783022381211
287.38,208.39,76.539,10.366,0.050151,0.13986,0.11085,0.10719,0.2859,0.040975,0.13428,0.029282,0.22212,1.1206101406432474
290.63,219.45,76.392,10.207,0.050053,0.13967,0.11078,0.10704,0.28981,0.041559,0.13426,0.02916,0.22192,1.1242576145452625
289.63,219.68,76.611,10.271,0.050103,0.13971,0.1108,0.1071,0.29085,0.04141,0.1343,0.029155,0.22197,1.1254014274210387
288.85,219.91,76.708,10.208,0.050161,0.13955,0.1108,0.10705,0.29157,0.041577,0.13426,0.029183,0.22193,1.1260806899455835
293.49,212.13,76.139,10.436,0.049848,0.14027,0.11081,0.10723,0.29418,0.040886,0.13435,0.029149,0.22212,1.128842352435897
289.98,223.42,76.404,10.179,0.050067,0.13957,0.11077,0.10701,0.29849,0.041731,0.13428,0.02911,0.22187,1.1328942434657199
