Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g86),Error (curve),Error (g237),Error (g303),Reduced Error
1234.5,0.19682,122.52,19.857,0.06222,0.13037,0.055842,0.18929,0.084117,0.071233,0.5930744062599999
1234.5,0.19706,122.58,19.542,0.062268,0.13032,0.055851,0.18971,0.084152,0.071185,0.5934949982632074
1253.9,0.19372,122.53,19.403,0.062294,0.13031,0.055855,0.18983,0.084157,0.071181,0.593629938138142
1255.3,0.19412,122.5,19.856,0.062213,0.1304,0.055846,0.18991,0.08409,0.071271,0.593728714136987
1234.9,0.19701,122.58,19.43,0.062286,0.13031,0.055854,0.18998,0.084165,0.071168,0.5937614952161965
1218.9,0.19904,122.56,19.692,0.06225,0.13032,0.055844,0.19006,0.084156,0.07118,0.5938142379332975
1236.0,0.19558,123.04,19.854,0.062214,0.13033,0.055843,0.19014,0.084149,0.071179,0.5938509527485757
1228.6,0.19707,122.71,19.542,0.062277,0.13029,0.055849,0.19012,0.084175,0.07115,0.5938656604467134
1231.5,0.1976,122.65,19.857,0.062213,0.13037,0.055843,0.19015,0.084119,0.071228,0.593922863315588
1209.1,0.20026,122.86,19.56,0.062275,0.13027,0.055846,0.19026,0.084195,0.07112,0.5939725791136267
