param_type,param_name,in_u_bound,in_l_bound,out_l_bound,out_u_bound,base
input,cp_tau_s,3.5992387910329255,2.146840934035067,0,1,10
input,cp_b,0.9726239646019509,-0.18794271258966858,0,1,10
input,cp_tau_0,2.6791461498237,1.70831040020233,0,1,10
input,cp_n,1.2909023328937448,0.04351946024575631,0,1,10
input,average_strain,-0.5445460312213718,-2.134102814831622,0,1,10
output,average_stress,3.871532072583568,2.194375567482212,0,1,10
