Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
13.811,0.0014663,420.14,4.4105,0.1023,0.10428,0.12125,0.17112,1.342,0.83537,0.10772,0.16859,0.26903,3.221691230261221
892.15,0.15109,271.23,12.586,0.084741,0.15417,0.070655,0.18526,1.2849,0.95671,0.078084,0.14991,0.40673,3.371142346281929
1261.9,0.2983,414.32,2.0666,0.10311,0.2053,0.094135,0.15236,1.9654,0.28601,0.085582,0.22793,0.52183,3.6416433307701195
1239.5,0.34393,465.46,1.9793,0.10337,0.2038,0.091608,0.15184,2.0307,0.28323,0.085733,0.23162,0.50444,3.6863785311854307
966.37,0.105,250.83,11.107,0.084222,0.15542,0.072899,0.1869,1.7021,0.86846,0.077866,0.15311,0.44234,3.743302173255327
27.663,0.00015043,479.97,4.4722,0.094538,0.11214,0.11417,0.16848,1.3353,1.3921,0.1073,0.16326,0.28701,3.7743350743513924
12.894,0.0019895,418.32,4.3921,0.10301,0.10401,0.12182,0.17124,1.5324,1.2141,0.10773,0.1691,0.2681,3.7915114146250097
1004.1,0.10901,244.48,10.757,0.085325,0.1558,0.073449,0.18667,1.4656,1.1587,0.076956,0.15305,0.44295,3.7985477496453033
1308.0,0.28022,413.67,2.1043,0.10287,0.20577,0.09452,0.15249,2.1665,0.31434,0.0856,0.222,0.52822,3.87233478720466
20.329,0.00077198,484.07,4.3669,0.098729,0.10849,0.1158,0.16873,1.5789,1.2677,0.10679,0.16299,0.27042,3.8785868185609886
