Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
19.85,1.098,254.52,19.093,0.13699,0.81105,0.067413,0.14239,0.066988,0.071301,1.2961340467179714
19.756,1.1169,252.56,19.762,0.13728,0.8222,0.067813,0.14271,0.06732,0.071467,1.3087968958502374
20.286,1.1364,248.94,18.999,0.13684,0.82352,0.06748,0.14274,0.067279,0.071473,1.3093294082994005
20.191,1.1356,250.2,19.339,0.13695,0.82765,0.067571,0.14269,0.067295,0.071452,1.3136043302844524
20.289,1.0113,254.33,19.28,0.13706,0.83506,0.066462,0.14014,0.065106,0.070389,1.3142214939484362
19.495,1.1269,252.49,19.593,0.13738,0.82594,0.068104,0.14334,0.067802,0.071774,1.3143468681737152
20.069,1.1001,252.55,19.644,0.1371,0.83005,0.067391,0.14198,0.066727,0.071119,1.3143655042718283
20.191,1.14,250.27,19.37,0.13694,0.82923,0.067605,0.14277,0.067366,0.071486,1.3154025876617998
19.972,1.1372,250.99,18.66,0.13683,0.83299,0.067637,0.14326,0.067661,0.071716,1.3200962774804195
20.251,1.1981,250.47,18.803,0.13668,0.8321,0.067914,0.14404,0.068432,0.072088,1.3212483047939914
