Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1562.5,0.32028,204.76,1.5489,0.18778,0.1217,0.34864,0.17041,0.25591,0.18598,0.20069,0.10417,0.12566,1.7009308938292331
1559.8,0.3213,204.73,1.546,0.18785,0.12174,0.35397,0.17048,0.2559,0.18605,0.20072,0.1042,0.12568,1.7065881026094174
1562.8,0.32279,204.71,1.5507,0.18773,0.12166,0.35558,0.17035,0.2559,0.18594,0.20065,0.10405,0.12564,1.7075092006733963
1563.6,0.32479,204.8,1.5436,0.18791,0.12179,0.35683,0.17052,0.25586,0.18611,0.20078,0.10414,0.12571,1.7096403093465604
1556.5,0.32705,204.77,1.5421,0.18795,0.12181,0.35898,0.17055,0.25585,0.18614,0.20074,0.1041,0.12571,1.711841872340337
1556.2,0.32725,204.89,1.5416,0.18796,0.12182,0.36127,0.17056,0.25585,0.18615,0.20074,0.10408,0.12572,1.7141681397359974
1556.2,0.32733,204.85,1.5409,0.18798,0.12184,0.36124,0.17058,0.25585,0.18617,0.20075,0.10406,0.12573,1.7141949431180792
1558.0,0.32,204.73,1.5525,0.18769,0.12164,0.36291,0.17033,0.25594,0.18589,0.20062,0.10406,0.12563,1.7147185992393057
1572.6,0.32283,202.83,1.556,0.18759,0.12156,0.3638,0.17018,0.25589,0.18582,0.20071,0.10411,0.12559,1.7152351394299326
1557.3,0.32761,204.63,1.5427,0.18793,0.1218,0.36342,0.17053,0.25585,0.18613,0.20073,0.1041,0.12571,1.7161964789899011
