Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
440.99,9.4476,81.903,1.2299,0.086803,0.08680326179312822
433.08,9.4462,81.901,1.2299,0.087224,0.0872241077786273
433.09,9.4471,81.901,1.2299,0.087224,0.08722414331620525
433.09,9.4464,81.903,1.2299,0.087224,0.08722416771529778
433.09,9.4462,81.903,1.2299,0.087224,0.08722419786761258
433.09,9.4471,81.903,1.2299,0.087224,0.08722422752776823
433.08,9.447,81.901,1.2299,0.087224,0.08722424587418777
433.09,9.4477,81.901,1.2299,0.087224,0.08722424844386278
433.08,9.4464,81.903,1.2299,0.087224,0.08722425923812428
433.09,9.447,81.901,1.2299,0.087224,0.0872242697227011
