Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1301.4,0.20078,123.69,6.1142,0.060651,0.13088,0.15517,0.095051,0.068398,0.054635,0.5647942410022121
1302.9,0.2008,123.84,6.0299,0.060412,0.13104,0.15488,0.095404,0.06846,0.054647,0.5648404247667735
1302.7,0.2008,123.87,6.025,0.060397,0.13104,0.1549,0.095427,0.068464,0.054647,0.56488014815562
1301.9,0.20082,123.56,6.1353,0.060713,0.13085,0.15537,0.094966,0.068378,0.054632,0.564912678612641
1296.5,0.20286,123.03,6.0306,0.060431,0.13109,0.1551,0.095388,0.068437,0.054649,0.5650891529260301
1266.1,0.20522,124.43,6.0376,0.060392,0.13093,0.15558,0.095398,0.068473,0.054637,0.5654105923708385
1303.6,0.2017,123.3,6.0262,0.060416,0.13109,0.15546,0.09541,0.068447,0.054649,0.5654717356546467
1297.3,0.20042,124.27,6.0373,0.060416,0.13098,0.15569,0.095384,0.06847,0.054645,0.5655778897814899
1237.8,0.21054,124.23,6.0226,0.06033,0.13094,0.15575,0.095475,0.068479,0.054628,0.5656074061765773
1300.7,0.20015,124.04,6.1203,0.060657,0.13084,0.15608,0.095036,0.068404,0.054633,0.5656504397436521
