Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
3982.9,3.7677,208.11,6.7926,0.1025,0.1415,0.069486,0.15634,0.97113,0.81439,0.05475,0.12285,0.12183,2.554774085924772
3966.3,3.6877,215.88,6.7991,0.10171,0.14219,0.069899,0.1566,1.2319,0.60697,0.054917,0.12294,0.12462,2.6117444070412685
3961.0,3.7179,205.68,6.7897,0.10264,0.14144,0.069419,0.15632,1.0867,0.76144,0.054711,0.12282,0.1215,2.6169583316001552
3960.0,3.7092,204.21,6.7745,0.10269,0.14133,0.06935,0.15634,1.098,0.75055,0.054713,0.12277,0.12139,2.6171313703749317
3979.7,3.6793,211.62,6.8333,0.10219,0.14202,0.069742,0.15636,1.235,0.65281,0.05483,0.12303,0.12336,2.6593235659143404
3960.4,3.7373,209.98,6.8269,0.10248,0.14174,0.069591,0.15631,1.1786,0.72641,0.05473,0.12293,0.12209,2.6749100345944985
3961.5,3.7299,209.21,6.8312,0.10255,0.14172,0.069571,0.15627,1.228,0.72433,0.054718,0.12294,0.12193,2.7220238174894815
3957.5,3.7745,207.23,6.7515,0.10252,0.14116,0.069242,0.1565,1.2655,0.74615,0.054816,0.12272,0.12171,2.7802986459480907
3958.6,3.6913,212.17,6.7075,0.10182,0.1414,0.069437,0.15688,1.4641,0.54545,0.05511,0.12272,0.12451,2.7813937023057935
3959.6,3.7907,209.35,6.8247,0.10265,0.14156,0.069492,0.15627,1.2055,0.81274,0.05468,0.12289,0.12131,2.7870797345404266
