Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
1464.4,9.1598,38.752,1.0,0.09183,0.09182984712653246
1464.4,9.1598,38.752,1.0,0.09183,0.09182989899068777
1464.4,9.1598,38.752,1.0,0.09183,0.0918299021629951
1464.4,9.1598,38.752,1.0,0.09183,0.09182990287223018
1464.4,9.1598,38.752,1.0,0.09183,0.09182991302827832
1464.4,9.1599,38.752,1.0,0.09183,0.09182991530876583
1464.4,9.1599,38.752,1.0,0.09183,0.09182994048685501
1464.4,9.1599,38.752,1.0,0.09183,0.09182994822969615
1464.4,9.1599,38.752,1.0,0.09183,0.09182995171345124
1464.4,9.1599,38.752,1.0,0.09183,0.09182995327135891
