Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g56),Error (g80),Error (curve),Error (g223),Error (g237),Error (g72),Error (g262),Error (g126),Reduced Error
163.31,575.2,61.71,12.043,0.1283,0.03236,0.2694,0.68946,0.13691,0.10204,0.074997,0.12361,0.027136,1.5842116141279288
153.61,503.99,62.118,13.632,0.12767,0.038291,0.27218,0.69308,0.13626,0.099413,0.080575,0.12404,0.026909,1.5984228955025632
158.44,485.66,60.841,14.0,0.12695,0.038664,0.27261,0.73677,0.13446,0.098471,0.092055,0.12351,0.026738,1.6502280349136624
157.39,443.91,67.817,4.4106,0.15058,0.039206,0.25406,0.60162,0.14762,0.1302,0.16247,0.12477,0.042845,1.65337497425841
429.44,495.59,77.947,1.0178,0.20839,0.14716,0.22599,0.34748,0.18037,0.18595,0.12405,0.12683,0.13674,1.6829709017955625
429.76,504.82,78.786,1.013,0.20872,0.14757,0.22591,0.35276,0.18058,0.18603,0.12346,0.12682,0.1372,1.6890426802625038
432.8,507.61,78.4,1.0066,0.20908,0.14796,0.22587,0.3531,0.18077,0.1862,0.12313,0.1269,0.13762,1.690631349686248
432.42,502.52,78.51,1.0115,0.20875,0.14763,0.22592,0.3561,0.18058,0.18604,0.12373,0.12683,0.13717,1.6927421853686357
438.73,508.53,77.552,1.0155,0.2087,0.14769,0.22592,0.3598,0.18052,0.18595,0.12364,0.12671,0.137,1.695921812918586
421.15,508.42,77.391,1.0404,0.20771,0.14631,0.22602,0.36501,0.18002,0.18562,0.12312,0.1266,0.13606,1.6964713373189948
