Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g63),Error (g303),Error (g237),Error (g86),Error (g59),Error (curve),Reduced Error
435.23,0.81769,129.16,8.9272,8.8183e-05,0.1273,0.063608,0.091387,0.054947,0.065762,0.27515,0.678156953391015
430.67,0.81904,129.52,8.946,8.8583e-05,0.12732,0.063572,0.091422,0.054973,0.065736,0.28387,0.6868912954052482
437.83,0.80427,127.66,9.0616,8.785e-05,0.12745,0.063869,0.091101,0.054956,0.065671,0.29569,0.698732438001247
425.45,0.83204,128.51,9.0905,8.7038e-05,0.12709,0.063689,0.091247,0.054966,0.065724,0.29876,0.7014709870368772
446.34,0.80901,129.8,8.5109,8.9178e-05,0.1274,0.063233,0.091871,0.054803,0.066038,0.30452,0.7078671131724317
427.06,0.87107,127.34,8.9901,8.8476e-05,0.12692,0.063428,0.09156,0.054945,0.065735,0.30631,0.7088908744251083
427.43,0.84275,123.93,11.113,8.8019e-05,0.12798,0.065278,0.089421,0.055295,0.064197,0.31024,0.7124086529877568
420.87,0.85765,123.11,11.113,8.8035e-05,0.12779,0.065177,0.089503,0.05528,0.064225,0.31049,0.7124647306315615
426.13,0.83616,124.19,11.048,8.7413e-05,0.12794,0.065273,0.089429,0.055282,0.064264,0.31154,0.7137288627512002
420.9,0.84641,124.93,11.087,9.1066e-05,0.12814,0.065073,0.089661,0.05535,0.064127,0.31196,0.7143094469219822
