Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
468.31,0.50973,101.2,15.953,2.7644e-06,0.063014,0.086153,0.055561,0.1284,0.068564,0.24062,0.6423109815485785
474.12,0.5097,100.98,15.763,2.9126e-06,0.063047,0.086096,0.055572,0.12849,0.068637,0.24066,0.6424983487138067
468.44,0.51029,101.4,15.961,2.746e-06,0.063014,0.086176,0.05556,0.12837,0.068536,0.2413,0.6429588945844326
467.44,0.50973,101.29,15.971,2.7636e-06,0.063009,0.086169,0.055559,0.12839,0.068546,0.24148,0.6431548313787838
470.15,0.51529,99.717,15.945,2.7714e-06,0.063027,0.085971,0.05556,0.1285,0.068749,0.24155,0.6433597122421295
470.18,0.50629,101.15,15.666,2.7653e-06,0.063094,0.086142,0.055564,0.12841,0.068577,0.24279,0.6445813226507615
476.16,0.51005,99.763,15.724,2.7913e-06,0.063086,0.085932,0.055579,0.12855,0.068792,0.2427,0.6446431415205556
468.83,0.50978,101.58,15.973,2.849e-06,0.062997,0.086191,0.055558,0.1284,0.068531,0.24324,0.6449215177382434
469.14,0.50981,101.33,15.788,2.7272e-06,0.063065,0.086169,0.055559,0.12837,0.068542,0.24359,0.6452957898291528
468.86,0.51905,101.1,15.969,2.8883e-06,0.062999,0.086152,0.055547,0.1284,0.068565,0.2441,0.6457660755892538
