evals,errors
1000,1.252521601900393
2000,1.252521601900393
3000,1.252521601900393
4000,1.252521601900393
5000,1.252521601900393
6000,1.252521601900393
7000,1.252521601900393
8000,1.252521601900393
9000,1.252521601900393
10000,1.252521601900393
11000,1.252521601900393
12000,1.252521601900393
13000,1.252521601900393
14000,1.252521601900393
15000,1.252521601900393
16000,1.252521601900393
17000,1.252521601900393
18000,1.252521601900393
19000,1.252521601900393
20000,1.252521601900393
21000,1.252521601900393
22000,1.252521601900393
23000,1.252521601900393
24000,1.252521601900393
25000,1.252521601900393
26000,1.252521601900393
27000,1.252521601900393
28000,1.252521601900393
29000,1.252521601900393
30000,1.252521601900393
31000,1.252521601900393
32000,1.252521601900393
33000,1.252521601900393
34000,1.252521601900393
35000,1.252521601900393
36000,1.252521601900393
37000,1.252521601900393
38000,1.252521601900393
39000,1.252521601900393
40000,1.252521601900393
41000,1.252521601900393
42000,1.252521601900393
43000,1.252521601900393
44000,1.252521601900393
45000,1.252521601900393
46000,1.252521601900393
47000,1.252521601900393
48000,1.252521601900393
49000,1.252521601900393
50000,1.252521601900393
