Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
581.83,388.12,39.396,257.06,144.33,120.14,63.552,11.504,0.12075,0.26915,0.13104,0.11009,0.24566,0.023911,0.026602,0.10158,0.12096,1.1497395726028925
580.59,388.24,39.81,257.22,144.15,120.15,63.582,11.502,0.12074,0.26914,0.13101,0.11008,0.24665,0.023896,0.026612,0.10154,0.12088,1.1505405233106005
581.53,388.31,39.385,257.05,144.32,120.31,63.53,11.399,0.12072,0.2691,0.13114,0.11004,0.2464,0.023938,0.026591,0.10163,0.12112,1.150654199745333
580.17,388.12,39.396,257.06,144.33,121.09,63.563,11.504,0.12074,0.26915,0.13102,0.1101,0.24788,0.023899,0.026623,0.10153,0.12086,1.1518024133008273
586.58,391.24,39.794,258.17,144.11,121.86,63.27,11.425,0.12071,0.26912,0.13118,0.10999,0.24828,0.023985,0.026577,0.10165,0.12106,1.1525663579043415
574.43,391.83,40.31,253.69,146.1,118.12,63.506,11.33,0.12054,0.26915,0.13107,0.11014,0.24849,0.024007,0.026572,0.10141,0.12121,1.1525907563159425
586.68,391.27,40.19,258.15,144.74,121.64,63.253,11.424,0.12069,0.26911,0.13115,0.10999,0.24834,0.023975,0.026556,0.10166,0.12115,1.1526253812094363
581.53,387.26,39.385,257.08,145.21,122.48,63.501,11.398,0.12071,0.26908,0.13112,0.11002,0.24882,0.023912,0.026597,0.10164,0.12121,1.1531068594480716
583.5,392.02,39.698,262.59,146.16,118.26,63.49,11.323,0.12067,0.26891,0.13113,0.11007,0.24921,0.023902,0.026505,0.10172,0.12123,1.1533482302610758
579.12,387.58,38.634,258.41,153.57,111.38,63.478,11.488,0.12061,0.26907,0.13083,0.11031,0.249,0.023846,0.026346,0.10162,0.12198,1.1536154827705598
