Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g243),Error (g223),Error (g238),Error (g185),Error (g138),Error (g164),Error (g50),Error (curve),Reduced Error
3714.5,0.026062,56.822,18.73,0.099998,0.061359,0.43893,0.16116,0.077165,0.13089,0.15548,0.15383,1.1418,2.42064014575638
3710.5,0.025975,56.311,18.709,0.10007,0.061344,0.48601,0.16118,0.07706,0.13082,0.15542,0.15332,1.1337,2.4589798208277296
3733.5,0.025923,56.201,18.94,0.10016,0.061294,0.44978,0.16098,0.077154,0.1311,0.15545,0.15316,1.1991,2.4881747864723636
3710.3,0.02621,57.601,18.808,0.099907,0.06135,0.48444,0.1611,0.077393,0.13105,0.15561,0.15462,1.1864,2.5118232370148714
3310.7,0.022933,60.429,19.243,0.09954,0.061169,0.59105,0.16212,0.079521,0.13175,0.15766,0.15938,1.0781,2.520250283556559
3948.1,0.024072,49.094,19.157,0.10135,0.061363,0.21676,0.16058,0.075054,0.13081,0.15384,0.14507,1.482,2.526801566323786
84.038,6.3469,170.02,17.971,0.12211,0.054588,0.44859,0.16286,0.074864,0.13626,0.14757,0.15178,1.3363,2.6348740196610394
79.775,6.4999,161.61,17.988,0.12235,0.054389,0.55514,0.16296,0.0753,0.13617,0.14739,0.14939,1.2376,2.6406474265928295
78.991,5.7442,170.39,19.817,0.12283,0.053772,0.39336,0.16247,0.076585,0.13573,0.14865,0.14319,1.4399,2.6764875892346907
3793.7,0.01995,59.162,19.984,0.099637,0.06194,0.87759,0.16158,0.07842,0.13311,0.15632,0.15855,0.99037,2.7175223184696713
