Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
3961.1,2.2449,48.872,4.3759,0.11503,0.10411,0.06633,0.17511,1.2982,0.27366,0.076395,0.16266,0.15211,2.423643373982424
3918.4,2.2169,53.116,4.4363,0.11425,0.10427,0.065992,0.17566,1.4068,0.32085,0.076417,0.16265,0.15447,2.5813800575055725
3941.3,2.1561,50.051,4.5361,0.11477,0.10499,0.065498,0.17433,1.4519,0.28471,0.075718,0.16163,0.1527,2.586215690189798
3991.7,2.1572,48.767,4.4313,0.115,0.10423,0.066275,0.17475,1.2643,0.47374,0.076287,0.16228,0.15197,2.5888286880972675
3955.5,2.1024,45.343,4.4632,0.1152,0.10531,0.065385,0.17378,1.4334,0.30958,0.075433,0.1613,0.1514,2.5907562423040367
3885.5,2.2083,46.768,4.3313,0.11473,0.105,0.065432,0.17513,1.3132,0.429,0.075835,0.16212,0.15386,2.594259442258328
3897.3,2.2873,49.534,4.3892,0.11478,0.10462,0.065726,0.17519,1.4559,0.35893,0.07606,0.16245,0.15324,2.666861099349532
3842.3,2.1271,52.238,4.5523,0.11392,0.10578,0.064628,0.17487,1.5202,0.3605,0.075344,0.16128,0.15611,2.7325893096853826
3972.3,2.1834,48.069,4.328,0.11489,0.10401,0.066456,0.17534,1.2681,0.65544,0.076536,0.16272,0.15258,2.776094168902455
3921.6,2.5071,50.498,4.2537,0.11524,0.10346,0.066896,0.17592,1.5653,0.44328,0.076935,0.16399,0.15105,2.8620533582904226
