Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
610.89,0.46927,128.65,6.9609,0.12618,0.094642,0.02868,0.25892,0.51158,0.11381,0.52772,0.029652,0.13365,1.8248339644036893
607.53,0.44029,129.21,6.99,0.1263,0.094659,0.028572,0.25902,0.446,0.11381,0.59755,0.029858,0.13374,1.8295068749335812
614.97,0.41829,129.56,7.0654,0.12623,0.094572,0.028315,0.25917,0.31099,0.11376,0.74188,0.02995,0.13374,1.8386142511775287
619.28,0.44867,129.38,6.9918,0.12619,0.094654,0.028685,0.25896,0.42891,0.11374,0.63326,0.029793,0.13372,1.8478999590999652
610.28,0.41225,129.97,7.1022,0.12621,0.094508,0.02803,0.25928,0.29902,0.11379,0.7718,0.029976,0.1337,1.856308877856226
622.87,0.30216,139.92,7.1026,0.12686,0.095397,0.029164,0.25884,0.63216,0.11342,0.44203,0.031641,0.13465,1.8641652450231434
605.9,0.41533,128.98,7.0911,0.12624,0.094493,0.02804,0.25929,0.35382,0.11382,0.72828,0.029925,0.13368,1.8676008798161705
614.21,0.42695,126.39,7.1214,0.12605,0.09434,0.027948,0.25937,0.3553,0.1138,0.72887,0.029685,0.13354,1.8688944958395548
618.62,0.43014,129.25,7.1257,0.126,0.094387,0.027889,0.25931,0.35512,0.11376,0.73693,0.029771,0.13354,1.8767153724563979
617.78,0.40969,130.05,7.0747,0.12625,0.094595,0.028344,0.25918,0.29584,0.11373,0.8056,0.03003,0.13378,1.8873474226270432
