Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g63),Error (g303),Error (g237),Error (g86),Error (g59),Error (curve),Reduced Error
413.87,0.85403,125.26,11.311,7.3476e-05,0.12402,0.064862,0.08943,0.054478,0.065407,0.30058,0.698778571785017
433.38,0.81052,123.55,11.038,7.4222e-05,0.12426,0.06497,0.089411,0.054401,0.065556,0.30169,0.7002908017079629
442.49,0.80555,123.2,11.051,7.4235e-05,0.12436,0.065043,0.089341,0.054408,0.065507,0.30764,0.7062976264622602
437.29,0.80856,122.29,11.032,7.4284e-05,0.12433,0.065016,0.089377,0.054399,0.065531,0.30925,0.7079070113145325
438.65,0.79806,126.14,11.157,7.3577e-05,0.12423,0.064992,0.089371,0.054437,0.065524,0.30972,0.7082773586366342
447.69,0.78637,123.01,10.972,7.4221e-05,0.1244,0.065048,0.089378,0.054391,0.065561,0.31109,0.7098719078641214
429.58,0.81069,124.97,11.238,7.3347e-05,0.12418,0.064974,0.089376,0.054454,0.065495,0.31186,0.7103449919129303
433.03,0.81007,125.45,11.044,7.2645e-05,0.12425,0.06495,0.089428,0.05443,0.065544,0.31181,0.7104184374663796
432.81,0.80253,126.34,11.277,7.3344e-05,0.12417,0.064978,0.089362,0.054463,0.065496,0.31227,0.7107336622511526
432.99,0.81733,122.12,11.084,7.3315e-05,0.12432,0.065013,0.089375,0.054427,0.065489,0.31338,0.7120038690201906
