Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g207),Error (curve),Error (g72),Error (g262),Error (g240),Error (g14),Error (g101),Error (g287),Error (g95),Reduced Error
0.20345,20.655,703.99,718.23,238.49,512.87,75.635,13.856,0.031734,0.35433,0.10163,0.14102,0.22629,0.065734,0.045491,0.10722,0.15569,1.229137033609337
0.20633,20.895,706.43,718.26,238.1,507.55,75.907,13.594,0.031674,0.35585,0.10166,0.14089,0.22641,0.065448,0.045315,0.10734,0.15579,1.2303944630708967
0.20215,20.142,703.6,715.66,238.22,501.37,75.496,13.85,0.031518,0.3634,0.10182,0.14117,0.22661,0.065662,0.045464,0.10741,0.15574,1.238796758229165
0.20559,20.877,699.74,723.22,242.09,507.58,76.505,13.613,0.031934,0.3724,0.10172,0.14091,0.22631,0.065486,0.045357,0.1075,0.15522,1.2468280229647442
1.6248,98.347,532.77,808.65,113.92,500.75,69.578,13.717,0.030943,0.36096,0.10835,0.14604,0.22366,0.066343,0.051262,0.10129,0.15953,1.2483775131597434
1.7063,105.93,533.02,809.79,124.85,500.46,70.056,13.635,0.031296,0.36452,0.10916,0.14587,0.22356,0.065327,0.050841,0.10159,0.15795,1.2501284557885017
0.18928,20.812,715.01,789.34,235.78,511.03,75.935,13.834,0.03207,0.38291,0.10181,0.14062,0.2262,0.065955,0.045854,0.10687,0.15647,1.258767865798417
0.11,20.645,701.42,717.02,240.33,512.95,76.112,14.301,0.031894,0.39101,0.10161,0.1408,0.22607,0.066472,0.045536,0.10702,0.15536,1.2657752430224318
0.13242,24.238,698.13,720.05,214.81,506.79,76.681,13.692,0.031472,0.39163,0.10172,0.14081,0.22611,0.066305,0.045641,0.10652,0.15672,1.2669219050519287
0.1322,24.237,698.14,720.05,222.39,506.78,76.64,13.691,0.031635,0.39263,0.10171,0.14081,0.22608,0.066085,0.045567,0.10672,0.15619,1.267430435217957
