Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g126),Error (g223),Error (curve),Error (g80),Error (g72),Error (g56),Error (g237),Error (g262),Reduced Error
1643.7,0.21946,128.07,5.9732,0.17467,0.12718,1.1379,0.57777,0.25814,0.10067,0.11694,0.11977,0.13133,2.744363625452125
1617.6,0.20611,144.06,5.8128,0.17353,0.12854,0.9055,0.82824,0.25958,0.10044,0.11714,0.12016,0.13069,2.7638188032719286
1644.7,0.19907,147.01,5.8325,0.17319,0.12878,0.87575,0.86729,0.25982,0.10046,0.11716,0.12032,0.13036,2.7731233057408384
1646.8,0.19666,146.26,5.9004,0.17309,0.12891,0.9306,0.83076,0.25999,0.10041,0.11717,0.12024,0.13027,2.7914338277934587
1616.5,0.20273,146.55,5.8132,0.17331,0.12882,0.88393,0.87771,0.25989,0.1004,0.11718,0.12019,0.13054,2.791962781588963
1677.7,0.21394,132.68,6.594,0.17381,0.12798,1.2971,0.4753,0.25928,0.10085,0.11699,0.11931,0.13057,2.801197211443959
1640.4,0.19645,146.27,5.9059,0.17307,0.12898,0.9398,0.83523,0.26009,0.10039,0.11718,0.1202,0.13028,2.8052213795745162
1640.9,0.20628,144.02,5.9034,0.17351,0.12837,0.9931,0.79245,0.25943,0.10052,0.11711,0.12013,0.13056,2.8151692364911156
1640.2,0.201,140.26,5.9012,0.17349,0.12851,0.97172,0.82596,0.25956,0.10045,0.1171,0.12015,0.13059,2.827524936099895
1631.3,0.17987,158.63,5.8159,0.17201,0.13038,0.71005,1.0902,0.26157,0.10028,0.11742,0.12045,0.1296,2.8319134963026324
