param_type,param_name,base,out_u_bound,out_l_bound,in_u_bound,in_l_bound
input,cp_tau_s,10,1,0,3.288182130613657,1.9686556980182057
input,cp_b,10,1,0,0.9721287519780141,-1.2808345059107866
input,cp_tau_0,10,1,0,2.6933839494466336,1.1230345297535065
input,cp_n,10,1,0,1.2648886261206194,0.12463462401913918
input,average_strain,10,1,0,-0.5423148665873633,-2.0778768490770574
output,average_stress,10,1,0,3.673629046659358,1.48465567261692
output,g60_phi_1,10,1,0,0.4365283821220992,0.31615912810796826
output,g60_Phi,10,1,0,0.48618953091188094,0.47399760443486344
output,g60_phi_2,10,1,0,0.6622949670769993,0.6036639154777601
output,g79_phi_1,10,1,0,-0.0364529896107161,-0.09227700502195708
output,g79_Phi,10,1,0,0.3424226808222062,0.32582341900274453
output,g79_phi_2,10,1,0,0.48634545366763765,0.47425998279668236
output,g178_phi_1,10,1,0,-0.19433605716754548,-0.35294972513146144
output,g178_Phi,10,1,0,0.3887936723235016,0.3786340638496024
output,g178_phi_2,10,1,0,0.44715803134221915,0.4331295175804855
output,g189_phi_1,10,1,0,0.4208300620261138,0.3393321678635058
output,g189_Phi,10,1,0,0.4431534218778309,0.42672266414577914
output,g189_phi_2,10,1,0,0.7223459424755813,0.7031967690162872
output,g190_phi_1,10,1,0,0.2762089666048583,0.2011785563833252
output,g190_Phi,10,1,0,0.30213603698871866,0.2882939497862167
output,g190_phi_2,10,1,0,0.5918989866912245,0.5777789366952243
output,g215_phi_1,10,1,0,0.26161967654793544,0.2081456345353503
output,g215_Phi,10,1,0,0.3783615567929716,0.35264551866897115
output,g215_phi_2,10,1,0,0.6271404566348109,0.6156765598332448
output,g237_phi_1,10,1,0,0.33617945343744404,0.3244882333076564
output,g237_Phi,10,1,0,0.36049874446800134,0.3383369465610725
output,g237_phi_2,10,1,0,0.6143276217508505,0.6052511601081718
output,g278_phi_1,10,1,0,0.14041375759107408,0.12198637905083837
output,g278_Phi,10,1,0,0.2058536954649253,0.1976388755555695
output,g278_phi_2,10,1,0,0.5870033979187637,0.5839238823193127
