Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g126),Error (g237),Error (g56),Error (curve),Error (g80),Error (g262),Error (g72),Error (g223),Error (g51),Reduced Error
110.96,53.414,35.675,2.6662,0.023622,0.099864,0.06353,0.36003,0.24827,0.12374,0.19883,0.13739,0.13952,1.3948072403736675
113.21,51.27,35.206,2.6849,0.02334,0.099305,0.06312,0.34731,0.24826,0.12354,0.22779,0.13695,0.13864,1.4082473065851489
109.3,52.459,36.247,2.7179,0.023439,0.099689,0.062781,0.36079,0.24817,0.12321,0.2149,0.13717,0.13869,1.4088420327778535
111.98,51.405,35.213,2.6812,0.023479,0.099567,0.063396,0.35501,0.24817,0.12351,0.22309,0.13714,0.13882,1.4121901099530605
108.55,52.469,37.253,2.6112,0.024438,0.10075,0.065344,0.40449,0.24766,0.12322,0.18077,0.13815,0.13989,1.4247157737059655
114.86,49.921,34.144,2.6496,0.023551,0.099439,0.063966,0.36014,0.24811,0.12371,0.23774,0.13708,0.13875,1.432491564812959
116.88,50.682,33.283,2.6961,0.023028,0.098713,0.06246,0.3662,0.2486,0.12405,0.25471,0.13646,0.13845,1.4526694178520867
112.58,50.084,34.838,2.6481,0.023756,0.099814,0.064329,0.39474,0.24791,0.12347,0.22741,0.13737,0.13887,1.457661013516534
108.16,56.665,37.268,2.6108,0.024296,0.10085,0.064677,0.47599,0.24817,0.1239,0.15428,0.13821,0.14097,1.4713517230591842
111.56,52.07,36.081,2.8318,0.022344,0.098241,0.059879,0.4115,0.24875,0.123,0.25934,0.13591,0.13711,1.4960855592910784
