Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (curve),Error (g59),Error (g303),Error (g237),Error (g86),Error (g63),Reduced Error
541.54,96.695,201.37,1.2677,8.5815e-05,0.26271,0.018757,0.027399,0.045106,0.03541,0.34739,0.12279634803855856
547.86,129.35,201.63,1.2577,8.0335e-05,0.26389,0.018758,0.027388,0.045131,0.035502,0.34773,0.12306731992267898
547.22,152.25,201.71,1.2564,8.0335e-05,0.26555,0.018757,0.027387,0.045135,0.035528,0.34781,0.12336149154791635
510.43,101.08,202.77,1.2677,8.6059e-05,0.2665,0.018761,0.027401,0.045108,0.035406,0.34735,0.12342146537294112
688.4,96.395,198.06,1.2674,8.4634e-05,0.26713,0.018735,0.027391,0.045097,0.035454,0.3476,0.12356838104215644
538.72,111.85,204.36,1.2635,8.5991e-05,0.27005,0.018754,0.027402,0.045116,0.035471,0.34749,0.12404826700094145
771.85,111.85,197.24,1.2723,8.5773e-05,0.27179,0.01872,0.027387,0.045082,0.035457,0.34767,0.12435225860833861
535.01,100.26,199.35,1.2687,8.5737e-05,0.27415,0.018759,0.027398,0.045105,0.035395,0.34739,0.12469969701301524
544.39,164.11,201.72,1.2543,8.022e-05,0.27474,0.018757,0.027388,0.04514,0.035554,0.34787,0.12490933697983835
771.08,118.49,198.15,1.2685,8.5864e-05,0.27547,0.018719,0.027389,0.045091,0.0355,0.34774,0.12498544752285375
