Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
2902.6,0.20437,1.8804,4.7442,0.086065,0.16871,0.063862,0.15831,1.2359,0.37584,0.074189,0.13645,0.31094,2.6102838099729007
2908.6,3.2408,6.3066,6.3929,0.092316,0.1625,0.062161,0.15901,0.94113,0.94102,0.075203,0.12936,0.29981,2.862516660070725
2928.2,3.1413,6.0573,6.329,0.091923,0.16276,0.062119,0.15908,0.97749,0.93628,0.075691,0.12984,0.30191,2.8970979424253347
2929.0,3.4708,6.4036,6.476,0.092889,0.1624,0.062348,0.1589,0.92447,1.0163,0.075203,0.12911,0.30068,2.9223297142967355
2931.3,3.4454,6.1058,6.4132,0.092498,0.16268,0.062299,0.159,0.92583,1.0149,0.075737,0.12961,0.30349,2.9260459423314544
2889.1,3.2359,5.8115,6.2942,0.091734,0.16295,0.06223,0.1592,0.95191,0.99077,0.076054,0.13009,0.30443,2.9293658024885643
3286.8,0.017619,3.4003,4.8539,0.088163,0.15603,0.05935,0.15611,1.6373,0.428,0.065117,0.13199,0.2309,2.9529841038448144
2915.7,3.2338,6.513,6.464,0.092793,0.16231,0.062243,0.15888,0.89661,1.0792,0.074953,0.12906,0.29858,2.9546020274352705
2948.3,3.0428,5.901,6.2877,0.091685,0.16296,0.062102,0.1591,1.0008,0.9703,0.076025,0.1302,0.30338,2.95653041379499
2863.5,3.2119,5.7838,6.2581,0.091491,0.16295,0.062182,0.15928,1.0245,0.95406,0.075968,0.13011,0.30382,2.9643127240330704
