Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
515.93,377.02,120.47,210.1,52.901,160.61,64.332,11.001,0.12219,0.2726,0.13205,0.12365,0.55159,0.02541,0.030752,0.091978,0.10387,1.454089262983732
515.91,385.76,106.56,209.96,52.897,160.62,64.058,10.926,0.12234,0.2725,0.13278,0.089557,0.5843,0.025618,0.03077,0.092956,0.10435,1.455177995122514
457.06,497.48,111.03,208.76,49.638,154.76,62.545,11.743,0.12136,0.27431,0.13224,0.12594,0.55603,0.026205,0.031187,0.090174,0.10066,1.4580955174323746
561.49,384.34,121.12,210.16,50.528,160.67,63.837,11.005,0.122,0.2718,0.13228,0.1174,0.56098,0.026008,0.03084,0.093431,0.1047,1.4594322811883935
515.93,376.35,120.3,210.4,52.878,161.87,64.341,10.977,0.12221,0.27257,0.13209,0.12193,0.55941,0.025422,0.03079,0.092026,0.10394,1.4603722126984997
520.66,408.27,124.52,211.14,50.171,162.31,63.541,10.985,0.12202,0.27266,0.13222,0.13266,0.55618,0.025883,0.031014,0.091826,0.10348,1.4679409726187653
515.61,378.66,122.0,209.54,52.587,153.61,63.778,11.002,0.1223,0.27274,0.13205,0.13126,0.55849,0.025363,0.030485,0.091721,0.10368,1.468078363423088
515.01,378.81,128.79,211.5,52.575,153.97,64.291,11.003,0.12233,0.27279,0.13173,0.15586,0.53976,0.025252,0.030541,0.091179,0.10348,1.4729293756681963
463.0,491.25,110.8,209.7,48.283,158.86,62.235,11.85,0.12127,0.27404,0.13228,0.12359,0.5739,0.026298,0.031316,0.090662,0.10072,1.474076656975176
453.32,531.83,111.66,228.37,28.628,203.23,56.299,11.836,0.12153,0.27218,0.13414,0.10178,0.5895,0.028516,0.033545,0.093364,0.10096,1.4755153708659647
