Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
454.88,1.4535,186.89,89.043,308.67,75.666,12.395,13.953,0.22138,0.13716,0.037951,0.42724,0.05601,0.10891,0.060381,0.11381,0.13198,1.294837756970162
398.41,0.30235,1.1042,170.35,396.74,2.5438,4.8561,12.923,0.23446,0.15414,0.059963,0.2876,0.090395,0.12166,0.090636,0.10868,0.15608,1.3036111257943914
398.18,0.30456,1.1039,170.35,396.75,2.5125,4.7496,12.925,0.23444,0.15419,0.060137,0.29357,0.090428,0.12159,0.090739,0.10862,0.15612,1.3098301745009826
398.41,0.30852,1.1161,170.35,396.74,2.6992,4.7886,12.924,0.23447,0.15412,0.05963,0.31093,0.090368,0.12148,0.090578,0.10846,0.15587,1.3259097282017527
398.52,0.3017,1.1159,170.35,396.74,2.7166,4.5243,12.642,0.2342,0.15402,0.060904,0.31344,0.090371,0.12144,0.091321,0.10835,0.15603,1.3300813554602378
402.17,0.30382,1.1225,170.35,396.74,2.7821,4.5414,12.718,0.23412,0.1539,0.060826,0.31418,0.090171,0.12147,0.091201,0.1084,0.15595,1.3302057854537193
398.29,0.30358,1.1036,170.12,396.33,2.5857,4.9337,12.816,0.23449,0.15409,0.059872,0.32132,0.090421,0.12165,0.09071,0.10861,0.15601,1.337164764073758
398.45,0.35045,1.1747,168.95,313.74,2.5415,4.7871,12.944,0.23476,0.15476,0.05466,0.33696,0.090762,0.11952,0.08801,0.10596,0.15399,1.33938300141867
398.44,0.29844,1.1138,170.35,396.74,2.6927,4.9118,12.924,0.23442,0.15404,0.059737,0.33085,0.090299,0.12167,0.090508,0.10867,0.15595,1.346151207562707
398.42,0.27102,1.1025,170.35,396.74,2.7033,4.6983,12.793,0.23402,0.15387,0.061291,0.3299,0.090171,0.12197,0.091054,0.10896,0.15631,1.3475499179123187
