Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
0.020464,4.5156e-07,762.04,499.97,183.13,774.73,82.292,3.2848,0.24773,0.13598,0.044013,0.11846,0.11361,0.094392,0.054235,0.22567,0.077223,1.1113182272949556
0.020471,4.5157e-07,761.91,499.81,183.08,777.65,82.281,3.2838,0.24804,0.13595,0.044021,0.11845,0.11366,0.094358,0.054272,0.22567,0.077297,1.1117138214151514
0.020827,4.4668e-07,762.34,499.79,180.92,774.77,82.494,3.2858,0.24836,0.13603,0.043984,0.11844,0.11358,0.094437,0.054234,0.22571,0.077171,1.111952419817788
0.02006,4.4641e-07,763.44,495.93,179.17,752.96,80.845,3.3463,0.25136,0.13644,0.044519,0.11905,0.11297,0.094337,0.052408,0.22567,0.075461,1.1122108736586376
0.020718,4.4933e-07,768.37,501.83,182.56,764.37,81.781,3.2858,0.24974,0.13614,0.043981,0.11854,0.11342,0.0945,0.05412,0.22581,0.076892,1.113144789538941
0.02025,4.556e-07,749.96,493.53,182.62,757.85,81.669,3.3396,0.252,0.13621,0.044488,0.11895,0.11312,0.094441,0.052644,0.22536,0.075934,1.11314824905444
0.020526,4.5149e-07,761.72,501.28,178.88,752.46,82.292,3.2853,0.25113,0.13632,0.043866,0.11855,0.11318,0.094677,0.054046,0.22576,0.076695,1.1142244750500687
0.020325,4.5157e-07,763.18,499.59,183.06,792.72,82.231,3.2838,0.25114,0.13582,0.044082,0.1184,0.11389,0.094192,0.054368,0.22568,0.077574,1.1151506869692704
0.020386,4.4492e-07,764.31,502.37,178.06,771.87,82.664,3.2794,0.25143,0.13612,0.043865,0.11839,0.11354,0.09455,0.054389,0.22581,0.077172,1.1152730855669646
0.020502,4.4164e-07,766.2,499.69,178.82,779.97,82.494,3.314,0.25259,0.13608,0.044186,0.11856,0.11357,0.094359,0.053633,0.22572,0.076694,1.1153906173074983
