Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
498.02,1.4785,51.928,7.3709,0.052135,0.11277,0.05857,0.094079,0.69573,0.068215,1.0814994740315504
495.18,1.5046,54.88,7.5418,0.052037,0.11168,0.058547,0.094071,0.71256,0.0686,1.0975038676826205
494.15,1.5067,55.304,7.5384,0.052029,0.11168,0.058535,0.094089,0.71309,0.068624,1.098043959420618
493.04,1.5204,55.175,7.4868,0.052043,0.11176,0.058501,0.094114,0.7135,0.068653,1.0985736633725638
497.26,1.4996,55.765,7.4418,0.052117,0.11254,0.058418,0.09443,0.71491,0.068286,1.1006936979619848
493.87,1.5183,54.888,7.5418,0.052025,0.11148,0.058543,0.094024,0.71612,0.068723,1.10091501616861
497.18,1.5107,54.658,7.5459,0.052059,0.11166,0.058524,0.094122,0.71728,0.068574,1.102219182841662
495.38,1.5329,53.108,7.5391,0.052039,0.11121,0.058585,0.093864,0.71902,0.068828,1.1035470743141509
493.62,1.4757,57.154,7.5708,0.052011,0.11202,0.058526,0.094234,0.71839,0.068454,1.1036285002889028
495.24,1.5227,54.885,7.5418,0.052042,0.11149,0.058518,0.094083,0.71999,0.068693,1.104824091927492
