Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g126),Error (g237),Error (g56),Error (curve),Error (g80),Error (g262),Error (g72),Error (g223),Error (g51),Reduced Error
230.17,190.26,63.575,8.7296,0.029341,0.088082,0.022562,0.30571,0.26334,0.11529,0.28837,0.12637,0.1218,1.3608565979842482
230.78,190.21,63.531,8.7335,0.029342,0.088071,0.022573,0.30717,0.26335,0.11528,0.28927,0.12635,0.12178,1.363172394848014
231.08,190.24,63.613,8.7096,0.029343,0.088077,0.022625,0.30532,0.26332,0.11528,0.29606,0.12636,0.1218,1.368181902452455
231.12,190.37,63.619,8.7017,0.02934,0.088087,0.022641,0.30442,0.26332,0.11528,0.29901,0.12637,0.1218,1.3702664966741123
226.56,192.6,64.212,8.736,0.029329,0.088168,0.022413,0.30042,0.26332,0.1153,0.30739,0.12651,0.12183,1.3746769059853965
225.86,192.05,64.073,8.7068,0.029326,0.088192,0.022465,0.30699,0.2633,0.11532,0.30351,0.12657,0.1219,1.377559023283874
229.19,192.28,63.93,8.711,0.029324,0.088156,0.022551,0.29891,0.2633,0.11528,0.31408,0.12646,0.12181,1.3798801349928584
226.11,190.36,64.104,8.6384,0.029343,0.088186,0.022615,0.30652,0.26325,0.11532,0.30959,0.12659,0.12198,1.3833868079285552
231.22,192.11,63.58,8.7064,0.029311,0.088147,0.022633,0.30184,0.2633,0.11527,0.31565,0.12641,0.12179,1.3843530696195234
225.77,192.14,63.823,8.7081,0.029314,0.088213,0.022477,0.32116,0.2633,0.11532,0.29933,0.12659,0.12191,1.3876201470682705
