Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g56),Error (g80),Error (curve),Error (g223),Error (g237),Error (g72),Error (g262),Error (g126),Reduced Error
189.2,492.44,62.525,11.29,0.12448,0.024151,0.26825,0.33768,0.13154,0.097726,0.11054,0.11941,0.02683,1.240599214627988
188.14,490.58,62.753,11.322,0.12446,0.024225,0.26825,0.34377,0.13158,0.097737,0.11064,0.1194,0.026878,1.2469327130588141
188.04,491.3,62.936,11.333,0.12447,0.024248,0.26824,0.34443,0.1316,0.097751,0.11064,0.11939,0.026896,1.247661929403329
188.74,493.98,63.058,11.314,0.12449,0.024224,0.26824,0.34451,0.1316,0.097774,0.11056,0.1194,0.026884,1.2476750186250145
188.97,497.14,62.749,11.061,0.12471,0.024185,0.26818,0.34494,0.13185,0.098057,0.11056,0.11949,0.026765,1.2487263788796434
187.68,492.5,63.058,11.438,0.12445,0.024304,0.2683,0.34763,0.13158,0.097696,0.11081,0.11941,0.026942,1.2511256641843234
188.7,494.52,62.776,10.903,0.12477,0.024164,0.26809,0.34776,0.13194,0.098185,0.11026,0.11948,0.026723,1.2513675736632677
189.51,495.65,63.005,11.154,0.12457,0.024162,0.26817,0.34975,0.13168,0.097906,0.11036,0.11942,0.026817,1.252846503903372
191.53,486.99,62.295,11.269,0.12426,0.023942,0.26816,0.35367,0.13122,0.097482,0.10973,0.11931,0.026786,1.2545676955026652
192.75,495.14,61.675,11.521,0.12429,0.023934,0.26838,0.35716,0.13109,0.09729,0.11022,0.11941,0.026778,1.2585526658423531
