Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
319.85,786.76,84.743,2.7518,0.10104,0.14,0.043031,0.1165,0.22157,0.11759,0.087282,0.23139,0.095816,1.1542149763628402
321.26,784.38,83.883,2.7581,0.10083,0.13995,0.043051,0.11639,0.22156,0.11765,0.086946,0.23212,0.095846,1.1543393786576293
320.9,782.54,83.913,2.7534,0.10088,0.13996,0.043053,0.11641,0.22157,0.11763,0.087022,0.23215,0.095841,1.1545299145977013
320.85,782.54,84.301,2.7338,0.10123,0.14005,0.043042,0.11654,0.22166,0.11757,0.087508,0.23316,0.095801,1.1565477096922347
318.49,781.8,84.805,2.7508,0.10099,0.14,0.04304,0.11648,0.22157,0.11758,0.087241,0.23684,0.095828,1.1595723247867882
320.87,786.62,84.807,2.7553,0.10095,0.13998,0.043031,0.11648,0.22155,0.1176,0.087148,0.23726,0.095826,1.1598338343857935
318.63,775.62,84.219,2.7481,0.10091,0.13999,0.04306,0.11641,0.22159,0.11759,0.087092,0.23777,0.095846,1.1602579267466155
317.64,782.61,83.594,2.8362,0.099562,0.13966,0.04306,0.11593,0.22121,0.11788,0.085257,0.24304,0.095905,1.1615027173094525
320.83,783.45,84.109,2.7261,0.10138,0.14008,0.043041,0.11658,0.22169,0.11756,0.087704,0.23833,0.095784,1.1621394794706472
316.5,787.05,83.409,2.9621,0.097613,0.13925,0.043052,0.11532,0.22067,0.11825,0.082601,0.25286,0.095851,1.1654685401139453
